Something	101-030716-JAP_(Rat230_2).CEL	102-030716-JAP_(Rat230_2).CEL	104-030716-JAP_(Rat230_2).CEL	105-030716-JAP_(Rat230_2).CEL	106-030716-JAP_(Rat230_2).CEL	107-030716-JAP_(Rat230_2).CEL	109-030716-JAP_(Rat230_2).CEL	110-030716-JAP_(Rat230_2).CEL	112-030716-JAP_(Rat230_2).CEL	113-030716-JAP_(Rat230_2).CEL	115-030716-JAP_(Rat230_2).CEL	117-030716-JAP_(Rat230_2).CEL	118-030716-JAP_(Rat230_2).CEL	119-030716-JAP_(Rat230_2).CEL	120-030716-JAP_(Rat230_2).CEL	122-030716-JAP_(Rat230_2).CEL	123-030716-JAP_(Rat230_2).CEL	124-030716-JAP_(Rat230_2).CEL	125-030716-JAP_(Rat230_2).CEL	126-030716-JAP_(Rat230_2).CEL	128-030716-JAP_(Rat230_2).CEL	129-030716-JAP_(Rat230_2).CEL	130-030716-JAP_(Rat230_2).CEL	131-030716-JAP_(Rat230_2).CEL	132-030716-JAP_(Rat230_2).CEL	133-030716-JAP_(Rat230_2).CEL	134-030716-JAP_(Rat230_2).CEL	135-030716-JAP_(Rat230_2).CEL
1383880_at	5.3083	5.5810575	5.6903906	5.3029995	5.506566	5.16926	5.635376	5.3410854	5.3380136	4.877555	4.8323164	5.0935106	5.2913227	5.622387	5.367994	5.5432854	5.4652243	5.618538	5.014776	5.231127	5.5623617	5.469719	5.649186	4.9410706	5.4017534	5.3882065	5.265723	5.6293707
1383881_at	4.573665	4.5441732	4.4848022	4.488161	4.511891	4.670681	4.593791	4.354379	4.500389	4.6712995	4.782336	4.478693	4.6445103	4.710936	4.422301	4.532442	4.8265715	4.6826344	4.5000834	4.648186	4.5674148	4.5996222	4.7026486	4.25528	4.3689823	4.549371	4.7633195	4.458267
1383882_at	2.8320608	2.7424612	2.6964443	2.6825686	2.8806057	2.7753513	2.9193597	2.7771301	2.6938384	2.7774332	2.9674144	2.9120514	2.9493873	2.963979	2.874874	2.8776424	2.6900132	2.6696556	2.9525383	2.729395	2.6717618	2.6521986	2.8431191	2.8463027	2.730303	2.861548	2.4536645	2.7786913
1383883_at	4.4611597	4.345935	4.3895063	4.3690763	4.2760854	4.391265	4.306993	4.392029	4.4707355	4.3621116	4.4337854	4.5034275	4.23548	4.2624173	4.499373	4.4112005	4.5459766	4.3647366	4.453056	4.402951	4.250517	4.2512064	4.2764325	4.3070784	4.3859367	4.3283257	4.4425325	4.568075
1383885_at	7.031179	7.1334233	7.134334	7.1595044	7.132014	7.225304	7.2337923	7.1000614	7.3487024	7.0819106	7.3348813	7.298631	7.1530857	7.137505	7.232875	6.980216	7.1460524	6.9666815	6.9345546	7.0377693	7.276103	7.0846415	7.216436	6.9410315	7.1132174	7.060674	7.037241	7.0620604
1383886_at	5.5207605	5.574233	5.171443	5.412286	5.3149385	5.12691	5.6380367	5.4023657	5.293313	5.40831	5.1637783	5.3558855	5.5820093	5.4265423	5.4956446	5.7912273	5.3428335	5.461936	5.314413	5.521443	5.612403	5.853555	5.7685003	5.3349133	5.5867662	5.7448587	5.8440924	5.3954744
1383887_at	3.3483248	3.4229944	3.6946583	3.5235634	3.470032	3.636712	3.7960324	3.6390967	3.7426736	3.9392004	3.763519	3.8474896	3.7706015	3.7454479	3.822673	3.7225597	3.6773949	3.5829225	3.6364524	3.6486533	3.7733767	3.6021125	3.6632118	3.94675	3.5140872	3.750081	4.037085	3.4832718
1383888_at	6.5249524	6.3872037	6.3416367	6.0203667	6.339846	5.831953	6.008308	6.000005	6.388167	5.9724727	5.9363065	5.733194	6.9012065	5.9332733	5.986777	6.3543525	5.8269825	5.809161	6.3854694	6.124419	6.6188006	6.3164406	6.6395636	6.128339	6.0446334	6.2816114	5.8986993	5.9643097
1383889_at	5.58573	5.5112424	5.7332344	5.19043	5.250903	5.0316916	5.2524104	5.0537963	5.7721086	5.8986416	5.645228	5.7979054	5.4448295	5.475934	5.332489	4.9063573	5.207555	5.123796	5.7047615	5.340389	5.6299872	5.377661	5.774052	5.324758	5.269901	5.3658996	5.1292105	5.486331
1383890_at	4.439628	4.8303466	4.819928	4.9270806	4.8043356	4.6486325	4.6557317	4.7228117	4.8329062	4.9378476	4.7873497	5.0388727	4.832866	4.755009	4.970341	5.1081777	4.7316575	4.7943645	4.7801056	4.660117	4.7047224	4.6184793	4.6288776	4.82569	4.788269	5.180842	4.8703704	4.6150427
