Something	601-030116-MW_(Rat230_2).CEL	602-030116-MW_(Rat230_2).CEL	603-030116-MW_(Rat230_2).CEL	605-030116-MW_(Rat230_2).CEL	607-030116-MW_(Rat230_2).CEL	608-030116-MW_(Rat230_2).CEL	609-030116-MW_(Rat230_2).CEL	610-030116-MW_(Rat230_2).CEL	612-030116-MW_(Rat230_2).CEL	613-030116-MW_(Rat230_2).CEL	614-030116-MW_(Rat230_2).CEL	615-030116-MW_(Rat230_2).CEL	616-030116-MW_(Rat230_2).CEL	618-030116-MW_(Rat230_2).CEL	619-030116-MW_(Rat230_2).CEL	620-030116-MW_(Rat230_2).CEL	621-030116-MW_(Rat230_2).CEL	622-030116-MW_(Rat230_2).CEL	623-030116-MW_(Rat230_2).CEL	625-030116-MW_(Rat230_2).CEL	627-030116-MW_(Rat230_2).CEL	628-030116-MW_(Rat230_2).CEL	629-030116-MW_(Rat230_2).CEL	630-030116-MW_(Rat230_2).CEL	631-030116-MW_(Rat230_2).CEL	632-030116-MW_(Rat230_2).CEL	633-030116-MW_(Rat230_2).CEL	635-030116-MW_(Rat230_2).CEL	636-030116-MW_(Rat230_2).CEL
1398934_at	8.6064	8.536096	8.889163	8.613193	8.539331	8.772266	8.817896	8.698275	8.6783285	8.562551	8.843381	8.600727	8.661191	8.685851	8.787024	8.62153	8.614758	8.661795	8.6175375	8.565375	8.846286	8.8850975	8.731281	8.632419	8.773098	8.881666	8.580598	8.548805	8.765096
1398935_at	8.542221	8.510445	8.599771	8.462596	8.454694	8.45608	8.601828	8.591305	8.508894	8.595024	8.481769	8.561178	8.471729	8.531929	8.707521	8.682336	8.662616	8.498147	8.580142	8.71055	8.636075	8.433258	8.543995	8.682957	8.533368	8.749833	8.633097	8.688524	8.653908
1398936_at	9.058554	8.95908	9.0753975	8.999897	8.947491	9.091692	9.025299	8.955553	8.949938	8.772556	9.044994	8.960896	8.990206	9.099583	8.932428	8.975161	9.015099	8.995953	9.035748	8.870289	8.950821	8.8925	8.983488	9.04701	8.882479	8.980474	9.107825	9.098595	8.953939
1398937_at	9.182138	9.366751	9.366435	9.4518585	9.302858	9.406121	9.464561	9.376448	9.452255	9.376015	9.540527	9.38001	9.246957	9.374273	9.463079	9.358913	9.3687725	9.461695	9.230989	9.429134	9.433542	9.57366	9.372473	9.310776	9.38928	9.608862	9.317047	9.208012	9.524908
1398938_at	9.969766	9.9762	9.934496	10.010222	9.887102	10.087133	9.97155	9.901968	10.032137	9.930611	9.937042	9.977558	9.9027405	9.9517765	9.999039	10.144466	9.947142	10.090727	9.881891	10.108139	10.089228	9.917517	10.081178	10.007311	9.911552	9.937784	10.239218	9.783623	10.055941
1398939_at	8.705109	8.817245	8.8775625	8.782714	8.694335	8.683703	8.900239	8.727189	8.758563	8.911534	8.625265	8.655689	8.734812	9.02407	8.7309265	8.808061	8.993337	8.658076	8.667448	8.795281	8.70521	8.608576	8.740204	8.865881	8.798896	8.889056	8.874984	8.818016	8.914533
1398940_at	6.952474	6.666438	7.2808805	7.101329	6.9643364	6.901218	7.501488	7.0447617	7.612459	6.9595194	7.533691	7.091796	6.6147237	6.954295	6.9151783	6.6102448	7.0198383	7.3081894	7.0053825	6.7664566	7.132642	7.637744	7.187604	7.0805387	7.1458077	7.413006	6.8733315	6.829436	7.284249
1398941_at	10.715213	10.5564165	10.479432	10.580322	10.5483675	10.564473	10.631788	10.525564	10.776821	10.474731	10.50502	10.584418	10.525714	10.662177	10.625381	10.78459	10.35017	10.427631	10.498602	10.669787	10.562542	10.546847	10.548816	10.589693	10.564311	10.628227	10.6641035	10.574161	10.518727
1398942_at	7.600534	7.2541943	7.3625045	7.3619714	7.126166	7.305076	7.4359617	7.281109	7.466238	7.0320106	7.5230584	7.287807	7.3489313	7.3772473	7.1827073	7.4184656	7.0150785	7.2184677	7.33024	7.5031223	7.2461877	7.230149	7.2919316	7.2678795	7.263029	7.2500234	7.0646586	7.509597	7.252666
1398943_at	9.613554	9.722975	9.652008	9.654915	9.778555	9.717701	9.5954075	9.599657	9.696251	9.638937	9.686304	9.758625	9.704321	9.690489	9.684296	9.960876	9.639679	9.632442	9.623304	9.784958	9.737152	9.610308	9.665644	9.774958	9.63822	9.584347	9.952761	9.681711	9.747944
