Something	601-030116-MW_(Rat230_2).CEL	602-030116-MW_(Rat230_2).CEL	603-030116-MW_(Rat230_2).CEL	605-030116-MW_(Rat230_2).CEL	607-030116-MW_(Rat230_2).CEL	608-030116-MW_(Rat230_2).CEL	609-030116-MW_(Rat230_2).CEL	610-030116-MW_(Rat230_2).CEL	612-030116-MW_(Rat230_2).CEL	613-030116-MW_(Rat230_2).CEL	614-030116-MW_(Rat230_2).CEL	615-030116-MW_(Rat230_2).CEL	616-030116-MW_(Rat230_2).CEL	618-030116-MW_(Rat230_2).CEL	619-030116-MW_(Rat230_2).CEL	620-030116-MW_(Rat230_2).CEL	621-030116-MW_(Rat230_2).CEL	622-030116-MW_(Rat230_2).CEL	623-030116-MW_(Rat230_2).CEL	625-030116-MW_(Rat230_2).CEL	627-030116-MW_(Rat230_2).CEL	628-030116-MW_(Rat230_2).CEL	629-030116-MW_(Rat230_2).CEL	630-030116-MW_(Rat230_2).CEL	631-030116-MW_(Rat230_2).CEL	632-030116-MW_(Rat230_2).CEL	633-030116-MW_(Rat230_2).CEL	635-030116-MW_(Rat230_2).CEL	636-030116-MW_(Rat230_2).CEL
Doses	0	0	0	0	94	94	94	94	94	188	188	188	188	188	375	375	375	375	375	750	750	750	750	750	1500	1500	1500	1500	1500
AFFX-BioB-5_at	8.519379	8.574438	8.705419	8.514821	8.414519	8.779066	8.656808	8.45679	8.82729	8.920033	8.4164915	8.507494	8.626076	8.617399	8.7846775	8.562544	8.504378	8.504223	8.31962	8.573822	8.562157	8.475325	8.571618	8.569731	8.771832	8.521528	8.458349	8.306791	8.652129
AFFX-BioB-M_at	9.150633	9.163834	9.23723	8.999526	9.038888	9.247932	9.183698	9.076874	9.377212	9.484604	9.118981	9.072252	9.143158	9.205595	9.384354	9.122215	9.09238	9.155763	8.984781	9.097394	9.147019	9.15216	9.165926	9.127307	9.350195	9.136437	9.094352	8.926575	9.219041
AFFX-BioB-3_at	8.580107	8.6024475	8.686861	8.430083	8.466539	8.73341	8.685645	8.518837	8.846873	8.914126	8.566942	8.545261	8.648114	8.674786	8.7430525	8.566016	8.432257	8.5658245	8.353817	8.603466	8.589407	8.610615	8.634471	8.528524	8.806101	8.544674	8.575413	8.293613	8.683841
AFFX-BioC-5_at	9.905684	9.959281	10.029978	9.801889	9.791287	10.115034	10.053534	9.90189	10.111611	10.244445	9.901821	9.835871	9.844353	10.042266	10.177301	9.937347	9.843078	9.958453	9.72193	9.836192	9.911156	10.002847	10.000514	9.95773	10.181054	9.925965	9.891481	9.614588	10.042286
AFFX-BioC-3_at	10.01275	9.986005	10.199803	9.911025	9.886657	10.155773	10.0670805	9.975486	10.239639	10.32719	9.995856	10.016544	9.959934	10.154044	10.2970295	10.026637	9.9007225	10.053402	9.804642	9.947756	9.979004	10.070539	10.120551	10.002309	10.204599	10.072635	10.000486	9.808353	10.103488
AFFX-BioDn-5_at	10.688871	10.671896	10.823982	10.537146	10.58749	10.825211	10.664267	10.65293	10.942697	10.89484	10.596905	10.586669	10.695616	10.695244	10.843774	10.623285	10.55975	10.710415	10.588295	10.5635	10.580605	10.722447	10.715944	10.655809	10.783476	10.755454	10.643328	10.510843	10.754453
AFFX-BioDn-3_at	11.728921	11.745848	11.824439	11.671993	11.651527	11.793624	11.738545	11.726317	11.898365	11.948392	11.725466	11.680265	11.64937	11.749243	11.858667	11.662912	11.639426	11.77157	11.583277	11.685272	11.6866865	11.799618	11.76038	11.651193	11.863109	11.755044	11.65376	11.6242	11.732187
AFFX-CreX-5_at	13.472271	13.453678	13.43856	13.365707	13.347831	13.482143	13.429855	13.425447	13.566884	13.512389	13.386615	13.36021	13.425443	13.4376955	13.47822	13.3474	13.345254	13.4423275	13.407596	13.345563	13.368813	13.377437	13.44965	13.390715	13.467392	13.462383	13.428342	13.303981	13.42239
AFFX-CreX-3_at	13.71763	13.704169	13.720664	13.629782	13.666062	13.743989	13.70495	13.699569	13.787313	13.762587	13.673299	13.639807	13.669296	13.718562	13.79591	13.66054	13.640819	13.739563	13.620444	13.663365	13.689643	13.674264	13.715324	13.648986	13.732278	13.688462	13.714985	13.589416	13.687135
AFFX-DapX-5_at	8.745766	8.592674	8.127801	8.2721	8.543022	7.848877	8.107935	7.797399	8.756912	8.232208	8.00852	8.574945	8.696127	8.202804	8.1485195	8.988484	7.6541376	7.7538047	8.613776	8.578641	8.312346	8.3435545	8.071453	8.252953	7.8492165	7.9808526	8.819861	8.362303	8.350313
AFFX-DapX-M_at	9.865513	9.582772	9.319682	9.313105	9.619881	8.99102	9.1586275	8.947535	9.806548	9.268256	9.076808	9.622495	9.646578	9.3501	9.240389	10.02395	8.724288	8.779591	9.630251	9.707713	9.344195	9.372634	9.149972	9.426141	8.932411	9.074635	9.786254	9.484659	9.343352
AFFX-DapX-3_at	10.034027	9.708078	9.67302	9.611279	9.7966	9.37865	9.578427	9.292445	10.06437	9.515696	9.446239	9.824947	9.8193245	9.704782	9.580749	10.262579	9.172418	9.131785	9.857001	9.925521	9.772687	9.721374	9.422156	9.620952	9.307336	9.490266	10.064845	9.763759	9.751685
AFFX-LysX-5_at	5.0005484	4.722762	4.645763	4.5305142	4.7861776	4.365381	4.7241507	4.467092	5.232085	4.6675763	4.815252	4.740413	4.8565435	4.920266	4.3137293	5.49569	4.0743623	4.320542	4.772969	5.000218	4.6146617	4.606702	4.402814	4.8361707	4.224759	4.6049285	5.1296253	4.3156652	4.9044747
AFFX-LysX-M_at	6.1575565	6.010255	6.273931	5.9488344	6.001333	5.6200705	6.011646	5.6703253	6.6031895	5.91483	5.990544	6.119818	6.1501193	5.9906244	5.8978925	6.6343145	5.328943	5.5972657	6.1153617	6.218321	6.149291	6.048986	5.8706546	6.018819	5.6842566	5.843078	6.500187	5.971437	6.095167
AFFX-LysX-3_at	7.626569	7.168138	7.2304683	7.084525	7.317499	6.806172	7.094742	6.8239856	7.563184	6.838239	7.0596952	7.251596	7.5721283	7.232836	6.960673	7.690394	6.671723	6.6298966	7.314077	7.425779	7.2899866	7.1503205	6.9098496	7.1240916	6.777457	7.085957	7.5913258	7.0890384	7.126812
AFFX-PheX-5_at	6.4791965	6.1102057	6.1578712	5.8568397	6.1230617	5.488658	5.830081	5.437029	6.399169	5.707242	5.5887237	5.941698	6.472085	6.075973	5.8003364	6.66589	5.254524	5.3287177	5.8417583	6.134122	6.0851893	5.8358927	5.772846	5.9663587	5.707587	5.9430146	6.3839226	5.813945	5.8741474
AFFX-PheX-M_at	6.8434854	6.6122756	6.544936	6.454936	6.7182856	6.0511513	6.516866	6.052365	6.848236	6.266211	6.225817	6.5582	6.8735523	6.5350623	6.2969007	7.21582	5.8818603	6.0030494	6.543641	6.7284994	6.571617	6.5976176	6.2386494	6.4668374	6.1492925	6.2607665	6.841278	6.3140326	6.415514
AFFX-PheX-3_at	7.7493954	7.4581	7.536279	7.379727	7.5688443	7.1779766	7.3875046	7.1755342	7.7916017	7.305154	7.3605547	7.552326	7.66136	7.3806105	7.440482	7.9290977	7.128116	7.0112863	7.5642786	7.747795	7.557259	7.4961433	7.306738	7.4609733	7.227887	7.217242	7.771739	7.566653	7.4849367
AFFX-ThrX-5_at	6.917857	6.766561	6.9067464	6.788821	6.8362083	6.4709806	6.596701	6.5927114	7.0733967	6.651692	6.383023	7.1755567	6.808454	6.5218945	6.514462	6.949409	6.2112656	6.31434	6.65305	6.9405107	6.8328	6.6496754	6.6706386	6.8284936	6.7014623	6.563502	7.1176815	6.59747	6.585427
AFFX-ThrX-M_at	6.747682	6.6214595	6.7285666	6.75892	6.494724	6.17172	6.2623353	5.969305	6.914455	6.345617	6.0858626	6.790232	6.864583	6.11591	6.2205906	6.7975826	5.7948847	5.945512	6.688847	6.727943	6.598575	6.358	6.366511	6.450624	6.1957355	6.432724	6.8386946	6.521307	6.580308
AFFX-ThrX-3_at	8.070399	7.938022	8.064758	8.091694	7.8916273	7.5447645	7.613974	7.523588	8.299224	7.6694474	7.4282513	8.175684	8.243245	7.6018524	7.658272	8.181518	7.268218	7.3466663	7.9234443	8.174481	8.093574	7.835837	7.768468	7.8123784	7.703565	7.898248	8.322602	7.9959726	7.829158
AFFX-TrpnX-5_at	2.476111	2.475972	2.5251627	2.4344473	2.4273844	2.638935	2.6118498	2.6435597	2.5121753	2.7812924	2.5323966	2.628597	2.6331747	2.6264153	2.4090872	2.7208414	2.7774117	2.5615764	2.5672884	2.5339465	2.6671314	2.5465002	2.5325208	2.5282345	2.5787692	2.5541832	2.3858507	2.5578442	2.6295712
AFFX-TrpnX-M_at	2.7590153	2.5540924	2.5182965	2.5957155	2.6040895	2.528001	2.5986364	2.601477	2.543839	2.3500888	2.5033646	2.558617	2.6017709	2.4791212	2.6402597	2.5729961	2.4580634	2.5408056	2.6024897	2.3858404	2.4795735	2.5646985	2.5709283	2.5338867	2.630337	2.5145533	2.5922592	2.5150757	2.544885
AFFX-TrpnX-3_at	2.3961802	2.5589907	2.3945248	2.4173257	2.4131377	2.4284983	2.5706704	2.4162905	2.3532333	2.3942113	2.4570508	2.3780406	2.5292528	2.3461833	2.3991418	2.5372596	2.4103303	2.2299361	2.5639434	2.5342038	2.4730093	2.3703	2.2994835	2.4022388	2.3949206	2.3462594	2.3699183	2.39907	2.291549
AFFX-r2-Ec-bioB-5_at	8.653638	8.739975	8.94892	8.698255	8.623798	8.863446	8.866232	8.717074	8.98816	9.082516	8.733442	8.66918	8.718024	8.876841	8.942613	8.764786	8.643204	8.84844	8.520603	8.778147	8.650341	8.8216505	8.729356	8.799733	9.006993	8.81572	8.7480755	8.5708275	8.945425
AFFX-r2-Ec-bioB-M_at	9.432504	9.425193	9.52739	9.31936	9.382323	9.586733	9.570882	9.325672	9.679036	9.682728	9.429744	9.387741	9.53626	9.529345	9.5804205	9.420465	9.267132	9.421382	9.344798	9.554773	9.415032	9.488652	9.465582	9.499704	9.627058	9.439939	9.39716	9.480837	9.555651
AFFX-r2-Ec-bioB-3_at	9.103479	9.100697	9.156016	9.013157	9.0713005	9.210565	9.179827	9.059179	9.493357	9.365875	9.073253	9.034473	9.040054	9.173758	9.238596	9.096155	8.96463	9.101251	9.07589	9.168893	9.065127	9.183336	9.1279745	9.13395	9.2898655	9.05055	9.152948	9.057726	9.102751
AFFX-r2-Ec-bioC-5_at	10.229975	10.2962	10.403242	10.211515	10.113678	10.38265	10.409895	10.236061	10.466803	10.58843	10.321239	10.216532	10.279238	10.370201	10.449091	10.264544	10.116594	10.299484	10.012138	10.319618	10.202778	10.34124	10.250736	10.308416	10.4886055	10.343071	10.207611	10.187483	10.359337
AFFX-r2-Ec-bioC-3_at	10.327121	10.25066	10.4279	10.233135	10.203865	10.432124	10.405242	10.317405	10.531629	10.618234	10.3823805	10.312189	10.2632675	10.448882	10.516876	10.3004	10.189223	10.328338	10.060317	10.233237	10.311719	10.420519	10.314263	10.301907	10.528188	10.314412	10.276148	10.11612	10.39438
AFFX-r2-Ec-bioD-5_at	12.09623	12.039263	12.107811	12.039921	11.993409	12.130278	12.077523	12.032614	12.232948	12.286984	12.049616	12.037714	12.014454	12.0617895	12.129963	11.995634	11.930461	11.995406	11.886568	12.0600815	11.949774	12.118446	12.064909	12.005304	12.091469	12.072381	12.038615	11.9663105	12.028816
AFFX-r2-Ec-bioD-3_at	12.645993	12.606905	12.659567	12.581532	12.551514	12.655031	12.646799	12.602322	12.788519	12.825115	12.607742	12.57687	12.586064	12.643187	12.7333355	12.56901	12.493165	12.6081705	12.475769	12.614169	12.5544195	12.651864	12.587168	12.584753	12.671653	12.577247	12.621953	12.537175	12.629374
AFFX-r2-P1-cre-5_at	13.846912	13.834681	13.862431	13.833781	13.809854	13.865427	13.845247	13.821027	13.959888	13.925303	13.837366	13.816076	13.824082	13.854313	13.881942	13.836016	13.754839	13.847905	13.78849	13.8844795	13.780419	13.855778	13.840762	13.820383	13.845421	13.814981	13.836739	13.8323	13.849833
AFFX-r2-P1-cre-3_at	14.208635	14.1848345	14.18969	14.139262	14.155852	14.242138	14.187134	14.167965	14.254103	14.190664	14.181691	14.18021	14.1848345	14.20088	14.202858	14.16418	14.094766	14.175608	14.117762	14.231903	14.154261	14.181273	14.190239	14.167732	14.16407	14.205937	14.1539755	14.137629	14.184931
AFFX-r2-Bs-dap-5_at	9.263077	9.044255	8.625702	8.785988	8.93787	8.267918	8.55201	8.167932	9.225654	8.707613	8.404663	8.899125	9.076757	8.628323	8.581715	9.434473	8.012321	8.247196	9.056662	9.12597	8.705044	8.693252	8.587263	8.71513	8.217651	8.454096	9.183055	8.854588	8.629778
AFFX-r2-Bs-dap-M_at	10.054135	9.817366	9.457128	9.4660225	9.756671	9.15871	9.294993	9.033916	10.026173	9.337654	9.205916	9.695215	9.90872	9.378781	9.307343	10.136164	8.850508	8.908742	9.9130335	9.766837	9.425934	9.518981	9.224668	9.533759	8.982462	9.1899805	9.94083	9.589201	9.394919
AFFX-r2-Bs-dap-3_at	10.776245	10.529089	10.371492	10.293987	10.534063	9.978752	10.159161	10.023677	10.791744	10.229012	10.107222	10.496569	10.588321	10.31761	10.28754	10.90609	9.849518	9.837463	10.622738	10.6203575	10.449284	10.440635	10.149509	10.249457	9.9002285	10.217878	10.775297	10.447066	10.3059
AFFX-r2-Bs-lys-5_at	6.3033066	5.660396	5.857065	5.336342	6.036487	5.406319	5.7596703	5.1535254	6.237548	5.53729	5.6075873	5.73964	6.282998	5.8592935	5.4423614	6.5934715	4.775897	5.0179157	6.05343	6.038068	5.5364637	5.919441	5.2964754	5.9400296	5.391346	5.888997	6.307188	5.191821	5.7638392
AFFX-r2-Bs-lys-M_at	6.07475	5.668081	5.9275837	5.517197	6.13843	5.3539505	5.6204243	5.055873	6.3124146	5.5104947	5.7711906	5.9690113	6.0606494	5.9171634	5.542442	6.560908	5.0093455	5.283694	5.8649573	6.2792544	5.8486547	6.07475	5.345597	5.795148	5.480306	5.8032985	6.267311	5.439909	5.818735
AFFX-r2-Bs-lys-3_at	6.9818563	6.5315695	6.404902	6.306751	6.684464	6.137084	6.287061	5.9756684	6.9375443	6.150986	6.2139416	6.485147	6.7390656	6.5515523	6.0131826	7.265056	5.657625	5.727046	6.4817524	6.881839	6.677306	6.521929	5.940103	6.468452	5.9501214	6.134648	6.9536266	6.3702173	6.3968844
AFFX-r2-Bs-phe-5_at	6.27853	6.253647	6.1870575	6.0095277	6.1733184	5.585064	5.954542	5.44897	6.540679	5.698575	5.9099717	6.1092734	6.626711	6.1475987	6.0297766	6.8925633	5.4528265	5.586951	6.1188736	6.3853416	6.25029	5.991866	5.9581685	6.0279217	5.6994925	5.7963834	6.680558	5.468461	6.1283646
AFFX-r2-Bs-phe-M_at	6.708121	6.356943	6.4894466	6.2696476	6.735196	6.162867	6.3758707	6.0671587	6.9397664	6.2518396	6.1157837	6.3840756	6.910727	6.487686	6.40706	7.1089296	5.849961	5.9959254	6.58365	6.6430492	6.444579	6.301084	6.1543336	6.4350433	6.0819836	6.1718	6.7088203	6.232364	6.465537
AFFX-r2-Bs-phe-3_at	8.165399	7.702796	7.9241185	7.589481	7.995133	7.358631	7.7375894	7.443221	8.138719	7.6264734	7.648063	7.922523	8.005508	7.8151817	7.645277	8.297953	7.29558	7.217631	7.926577	8.021924	7.98017	7.8046637	7.5490565	7.8079495	7.5361695	7.5990653	8.189951	7.8192987	7.9046183
AFFX-r2-Bs-thr-5_s_at	6.730382	6.6128817	6.7483253	6.8580985	6.5392303	6.209338	6.562141	6.222476	6.832151	6.127173	6.1344285	6.6431065	6.7973003	6.2107806	6.310232	7.0064034	5.9505253	6.0598674	6.470605	6.8304524	6.5374446	6.239117	6.587847	6.432568	6.4620857	6.5369015	6.8161397	6.3479857	6.544416
AFFX-r2-Bs-thr-M_s_at	7.2962046	7.260926	7.3236623	7.292405	7.2137856	6.84478	6.8561997	6.846868	7.6396103	6.831562	6.6329465	7.4457026	7.5386405	6.9314785	7.092921	7.3972173	6.5933642	6.7725043	7.156726	7.593819	7.151761	7.0671544	7.0636563	7.1595044	7.044694	7.126968	7.674119	7.279803	7.2736645
AFFX-r2-Bs-thr-3_s_at	8.176807	8.092101	8.223183	8.132421	8.065102	7.515471	7.751063	7.5668707	8.444197	7.6604958	7.398104	8.238349	8.251995	7.7264566	7.707127	8.163221	7.395562	7.3549833	8.010626	8.250778	8.089267	7.861603	7.870132	7.802711	7.822765	7.9379134	8.245635	7.990097	7.942837
AFFX_Rat_GAPDH_5_at	12.275311	12.381445	12.39409	12.417446	12.354987	12.426826	12.397127	12.47015	12.351454	12.550353	12.531183	12.453813	12.452358	12.434106	12.438653	12.440694	12.555725	12.55931	12.418111	12.478865	12.480282	12.364776	12.519356	12.516541	12.493436	12.52432	12.518753	12.459823	12.4987755
AFFX_Rat_GAPDH_M_at	12.089151	12.232164	12.25077	12.239011	12.156342	12.25837	12.2161	12.283765	12.177263	12.375784	12.364221	12.271221	12.26427	12.234596	12.251234	12.312066	12.322426	12.315777	12.221692	12.277474	12.256478	12.150199	12.304899	12.341732	12.3440275	12.347307	12.359914	12.311569	12.367126
AFFX_Rat_GAPDH_3_at	12.285143	12.321666	12.331084	12.312773	12.351729	12.392654	12.303646	12.365979	12.333737	12.383686	12.4836855	12.418153	12.456685	12.346901	12.331671	12.43754	12.3890505	12.371354	12.353095	12.392058	12.405332	12.264661	12.406164	12.451808	12.401508	12.418548	12.496012	12.492752	12.420378
AFFX_Rat_Hexokinase_5_at	2.892322	2.8965724	2.9327035	2.6174996	2.845103	2.6230848	2.6561594	2.796658	2.811001	2.7316415	2.8941596	2.8537695	2.712204	2.7550209	2.8420093	2.755764	2.8879764	2.8940923	2.7754867	2.8637357	2.7341123	2.5906353	2.7180443	2.8966742	2.6287928	2.6765907	2.8076215	2.8576543	2.573382
AFFX_Rat_Hexokinase_M_at	5.2588406	5.1247973	5.1542735	5.2887907	5.125662	5.190437	5.19478	5.2013087	5.027816	5.147963	5.042918	5.271222	5.279431	5.12957	5.2091503	4.9856596	5.301528	5.2629795	5.2060585	5.325982	5.1925564	5.1099124	5.1016364	5.026466	5.1176243	5.1544437	5.2565765	5.2809057	5.0099998
AFFX_Rat_Hexokinase_3_at	4.0215073	4.0004606	3.8769186	3.750922	3.835304	3.9304357	3.9918823	3.9821403	3.9284658	4.0229297	3.880405	3.9339879	3.994924	3.9624665	3.9174585	3.841237	3.976968	4.1585298	3.9237704	4.07334	4.13071	3.7718623	3.8933158	4.037541	3.8382874	3.8804429	3.8761709	3.8986952	3.8173988
AFFX_Rat_beta-actin_5_at	11.131709	11.300434	11.20981	11.199801	11.132973	11.392502	11.429974	11.2851925	11.183271	11.383138	11.454798	11.225663	11.50055	11.386314	11.22512	11.214967	11.225626	11.501735	11.316248	11.315163	11.192752	11.033703	11.392189	11.223168	11.303146	11.371309	11.103064	11.181501	11.332117
AFFX_Rat_beta-actin_M_at	11.853611	11.95764	11.834961	11.886574	11.82336	12.000917	12.026027	11.868753	11.8862	11.993592	12.053457	11.877865	12.114528	12.0239315	11.810298	11.875783	11.828278	12.076243	11.937384	11.987152	11.821645	11.690725	11.965234	11.857899	11.90068	11.986158	11.850665	11.851139	11.929276
AFFX_Rat_beta-actin_3_at	12.445315	12.385868	12.273612	12.356108	12.253115	12.399679	12.454058	12.304813	12.384617	12.368669	12.41505	12.403034	12.528148	12.4391575	12.239934	12.417123	12.220562	12.458404	12.380491	12.43445	12.25002	12.162268	12.374918	12.348997	12.333041	12.406703	12.388446	12.333182	12.35399
AFFX_rat_5S_rRNA_at	9.120209	9.900381	7.37354	7.5318093	8.786288	7.365939	7.463623	6.9260144	8.946552	7.177883	7.144657	8.576394	8.635336	8.002994	7.8521924	10.445322	6.3950944	6.7047305	8.737488	9.092087	7.5255	8.020689	6.7751603	8.096861	8.050827	6.866181	10.880336	8.3202715	7.7985215
AFFX_ratb1/X12957_at	5.620298	6.1993556	5.6160526	5.6049924	5.6182246	5.5157804	5.6501913	5.5778775	5.718911	5.7547836	5.6788025	5.5345306	5.877763	5.7908416	5.6668377	5.749799	5.481818	5.668181	5.7961783	5.465135	5.303336	5.5319753	5.437086	5.733303	5.433782	5.628029	6.115807	5.690322	5.628456
AFFX_ratb2/X14115_at	3.091013	3.235986	3.1054542	2.9877965	3.0892398	2.949939	2.9493294	2.9622188	3.0683875	2.9620647	3.030425	2.9239466	3.1295989	3.011577	3.0897615	3.118063	3.032171	3.0502331	3.1420288	2.8652513	3.1131806	3.0195475	2.8964548	3.0574691	2.9780974	3.0574956	3.1913025	3.179833	3.1285157
1367452_at	9.829861	9.840691	9.715633	9.84231	9.808039	9.782635	9.796152	9.737236	9.826374	9.699614	9.790569	9.802916	9.785725	9.816713	9.663507	9.856895	9.6856575	9.816269	9.706522	9.740734	9.742762	9.762329	9.790512	9.75709	9.729071	9.807167	9.731297	9.579206	9.711956
1367453_at	9.419619	9.591141	9.385056	9.345145	9.509082	9.607226	9.40112	9.447658	9.580073	9.529543	9.524252	9.445023	9.547333	9.514653	9.58633	9.595708	9.407076	9.565054	9.399737	9.675027	9.548879	9.427203	9.578331	9.442212	9.541844	9.46295	9.4440155	9.649372	9.544996
1367454_at	9.7940445	9.929393	10.088215	10.024582	9.959425	10.015722	10.046923	10.096628	9.927866	10.06225	10.042261	9.8772335	9.898319	10.008476	9.989485	9.866026	10.073904	10.007519	10.01094	9.885538	9.981791	10.013418	10.038727	9.950308	10.009998	10.021931	9.821804	9.785368	10.10671
1367455_at	11.377903	11.534164	11.552468	11.544078	11.308526	11.476833	11.559299	11.479414	11.442984	11.448185	11.54454	11.397882	11.470232	11.497803	11.472563	11.362984	11.430729	11.516939	11.430174	11.354559	11.385838	11.412613	11.445535	11.461676	11.501528	11.450848	11.276316	11.403559	11.488831
1367456_at	11.609071	11.709337	11.61761	11.631119	11.616066	11.614285	11.625595	11.597244	11.689877	11.580391	11.599114	11.576725	11.65063	11.6911745	11.56383	11.732788	11.580032	11.636296	11.5901985	11.707562	11.637252	11.711982	11.602447	11.566956	11.608502	11.653892	11.693004	11.606953	11.638913
1367457_at	9.083853	9.006263	9.082625	9.07573	8.998658	9.120356	9.134906	9.179665	9.115917	9.009363	9.104672	9.047197	9.0978565	9.107175	9.07491	9.163754	9.09994	9.158663	8.984701	9.00866	9.121863	9.066464	9.069471	9.080167	8.998967	9.109009	9.068435	8.998179	9.129488
1367458_at	7.7622366	7.8186026	7.9150796	7.8057303	7.8154316	7.834946	7.836892	7.905735	7.818101	7.8899164	7.8392506	7.8417153	7.79366	7.8701572	7.9510894	7.9014964	7.896487	7.820016	7.7152743	7.750291	7.82156	7.736396	7.8628845	7.774565	7.8830533	7.802787	7.839418	7.811022	7.755868
1367459_at	11.657949	11.838899	11.837993	11.841323	11.795952	11.815557	11.823486	11.8033085	11.855314	11.817016	11.8528	11.843989	11.842432	11.797475	11.730662	11.837412	11.740582	11.93604	11.736694	11.888991	11.821	11.7237625	11.828474	11.726894	11.74627	11.869267	11.774253	11.735812	11.837238
1367460_at	11.221003	11.082814	11.174144	11.158456	11.091304	11.185111	11.153293	11.192732	11.102358	11.081345	11.0951805	11.047733	11.093367	11.178245	11.037665	11.104618	11.23455	11.226033	11.09094	11.151893	11.205778	11.08093	11.124326	11.159258	11.10449	11.167656	11.159193	11.152177	11.207199
1367461_at	9.518821	9.660234	9.727303	9.851414	9.555742	9.596123	9.8140335	9.716663	9.617878	9.681698	9.783846	9.671857	9.365435	9.679262	9.548891	9.455297	9.683884	9.601791	9.669584	9.557447	9.641396	9.73064	9.60664	9.654512	9.625616	9.726849	9.471359	9.492296	9.6742115
1367462_at	10.409909	10.583883	10.457954	10.383839	10.352317	10.754266	10.5912285	10.589223	10.52915	10.646803	10.506854	10.44678	10.4001665	10.640256	10.627241	10.665863	10.596448	10.67123	10.372698	10.571299	10.671581	10.507303	10.710315	10.526335	10.595216	10.514357	10.3534	10.3733425	10.672875
1367463_at	10.2610445	10.3507	10.365022	10.247766	10.261471	10.4946575	10.305278	10.287552	10.443655	10.335087	10.447289	10.271124	10.275285	10.30006	10.297789	10.418525	10.349877	10.486553	10.282503	10.251052	10.427712	10.244553	10.478272	10.310526	10.365175	10.310059	10.372133	10.159908	10.335071
1367464_at	8.993503	9.278568	9.2126	9.270866	9.077748	9.29394	9.279545	9.18713	9.31225	9.247141	9.310476	9.198088	9.227325	9.278107	9.343842	9.180273	9.244381	9.337883	9.019321	9.209493	9.279081	9.141836	9.289113	9.255922	9.152407	9.2549305	9.1120205	8.989971	9.257831
1367465_at	9.977245	9.891343	9.997856	9.96513	9.9435625	10.050841	10.08856	10.029672	9.974591	10.061753	10.058286	9.9893875	9.990509	10.114139	10.054448	10.128766	10.131026	10.108719	9.887865	9.969073	10.123684	10.059742	10.116203	9.999693	10.06804	10.082048	10.051894	9.989312	10.179318
1367466_at	9.199398	9.004881	9.392175	9.3189335	9.130513	9.353289	9.405459	9.317405	9.379097	9.256629	9.39352	9.216381	9.097762	9.250454	9.347582	9.065092	9.227195	9.177453	9.159303	9.155989	9.238448	9.381176	9.364033	9.129056	9.138445	9.402296	9.044906	9.1742	9.316884
1367467_at	11.339102	11.392778	11.421069	11.329674	11.418339	11.418077	11.314329	11.35708	11.396423	11.351601	11.336567	11.408035	11.431467	11.30691	11.447857	11.395937	11.415192	11.365316	11.415398	11.472158	11.520327	11.266842	11.353315	11.397581	11.43689	11.280819	11.52808	11.323456	11.474598
1367468_at	9.142665	9.325188	9.512774	9.331435	9.337826	9.450265	9.445445	9.404681	9.471181	9.558809	9.377181	9.414583	9.234591	9.473375	9.536803	9.5753765	9.465119	9.415317	9.099276	9.429546	9.609699	9.396285	9.496389	9.397653	9.448656	9.374095	9.483071	9.26898	9.490171
1367469_at	11.881561	11.9237	11.832541	11.820645	11.670291	11.834177	11.822642	11.809429	11.922119	11.693357	11.80875	11.616684	11.753446	11.8393545	11.745238	11.82041	11.633679	11.837589	11.783456	11.862725	11.698055	11.83366	11.850441	11.672472	11.740122	11.950724	11.797154	11.874353	11.758276
1367470_at	9.712761	9.724901	9.940432	9.901854	9.700296	9.690632	9.906183	9.794188	9.82785	9.799213	9.744724	9.769829	9.6933975	9.865461	9.71925	9.638514	9.888653	9.795355	9.886377	9.812698	9.867794	10.1207905	9.724459	9.776148	9.888042	9.799631	9.645035	9.786356	9.888825
1367471_at	8.893849	8.940427	8.887842	8.874702	9.070395	9.118982	8.869665	8.855265	9.233242	8.915714	8.859167	8.892639	8.935265	8.812595	8.990998	9.033957	8.870302	8.991007	8.839308	9.13158	8.982843	9.049707	9.003265	8.940738	8.951117	8.889883	9.029821	8.921072	8.866102
1367472_at	8.474333	8.400761	8.603937	8.555387	8.529036	8.664203	8.615779	8.586378	8.711875	8.54534	8.812014	8.575111	8.632572	8.667673	8.701684	8.542264	8.544134	8.638435	8.565384	8.493095	8.516859	8.524977	8.625288	8.485798	8.595695	8.758152	8.455304	8.583862	8.56449
1367473_at	9.519704	9.558696	9.56659	9.536232	9.574599	9.614087	9.581304	9.491959	9.64013	9.51903	9.637026	9.577105	9.700821	9.5449	9.475585	9.639168	9.662632	9.657046	9.499295	9.689709	9.509359	9.484253	9.5340395	9.502358	9.603687	9.552978	9.566883	9.483828	9.52999
1367474_at	9.476947	9.449912	9.683996	9.584649	9.585984	9.573038	9.661519	9.614241	9.647316	9.603086	9.65777	9.603073	9.426092	9.565905	9.529813	9.553662	9.569002	9.483673	9.476204	9.43724	9.588138	9.55599	9.629301	9.554803	9.608114	9.517517	9.553347	9.473533	9.701888
1367475_at	10.330824	10.297968	10.292112	10.307929	10.276577	10.297287	10.310942	10.256405	10.282961	10.257721	10.211652	10.322927	10.236481	10.375189	10.20487	10.412385	10.38134	10.290661	10.350178	10.431393	10.306074	10.2411995	10.313841	10.332495	10.36095	10.205788	10.297968	10.321545	10.31476
