Something	030816-MW-502_(Rat230_2).CEL	030816-MW-504_(Rat230_2).CEL	030816-MW-506_(Rat230_2).CEL	031516-MW-503_(Rat230_2).CEL	030816-MW-520_(Rat230_2).CEL	030816-MW-508_(Rat230_2).CEL	030816-MW-510_(Rat230_2).CEL	030816-MW-511_(Rat230_2).CEL	031516-MW-509_(Rat230_2).CEL	030816-MW-513_(Rat230_2).CEL	030816-MW-514_(Rat230_2).CEL	030816-MW-515_(Rat230_2).CEL	030816-MW-516_(Rat230_2).CEL	031516-MW-517_(Rat230_2).CEL	030816-MW-526_(Rat230_2).CEL	030816-MW-521_(Rat230_2).CEL	030816-MW-522_(Rat230_2).CEL	030816-MW-523_(Rat230_2).CEL	031516-MW-519_(Rat230_2).CEL	030816-MW-531_(Rat230_2).CEL	030816-MW-528_(Rat230_2).CEL	030816-MW-529_(Rat230_2).CEL	031516-MW-527_(Rat230_2)_2.CEL	031516-MW-530_(Rat230_2).CEL	030816-MW-532_(Rat230_2).CEL	030816-MW-534_(Rat230_2).CEL	031516-MW-535_(Rat230_2).CEL	031516-MW-536_(Rat230_2).CEL	030816-MW-507_(Rat230_2).CEL
1398243_at	4.0366516	4.021151	4.1865273	3.992593	4.1097336	4.0955973	4.040744	4.087906	4.3225555	4.190937	4.0653086	4.0743117	4.169032	4.3780003	4.1097336	4.0157785	4.288225	3.967603	3.99558	3.9391367	4.1387978	4.1549597	4.1549597	4.3604593	3.86279	4.230648	4.11152	4.360503	4.124832
1398244_at	9.004586	8.92234	9.115776	9.010008	9.069105	9.082865	9.064701	9.042102	8.864935	8.84719	8.980078	9.087964	9.046158	9.018649	8.946791	9.061218	8.994085	8.947134	8.943102	9.0677	9.031564	8.99861	9.1157055	8.821141	8.933892	9.013789	8.873405	8.951344	9.066854
1398245_at	4.675552	4.454477	4.0443783	4.5155134	4.414288	4.259198	4.177447	4.141309	4.3905444	4.374594	4.3308377	4.403272	4.424893	4.5766377	4.2408304	4.3380823	4.767068	4.543725	4.551793	4.1646214	4.3076177	4.353984	4.729659	4.390245	4.4933558	4.180006	4.3566484	4.5835056	4.29455
1398246_s_at	8.16148	8.130028	8.01421	8.239498	8.183902	8.368887	8.139212	8.40459	7.9328365	8.106058	8.237135	7.9162498	8.214113	8.03623	8.334635	8.387373	8.32436	8.466211	7.9046493	8.219234	8.134149	8.069943	8.077276	7.8617835	7.8815312	7.818067	7.950851	7.687775	8.3387375
1398247_at	9.046639	9.177983	9.253984	9.104818	9.3035345	9.252595	9.047971	9.069092	8.924452	9.225924	9.090522	9.056375	9.208257	9.05508	9.162819	9.198136	9.070443	9.1917515	9.085124	9.156718	9.058307	9.05557	9.378978	9.134538	9.128834	9.217189	9.116197	9.156985	9.156747
1398248_s_at	5.500951	5.698625	5.7918425	5.7245517	5.500305	5.450174	5.567314	5.5885816	5.637308	5.47686	5.464749	5.539436	5.581612	5.7020006	5.7335796	5.6982746	5.458676	5.510034	5.543843	5.346885	5.360712	5.528247	5.6131864	5.3456807	5.2836885	5.456652	5.35139	5.6526117	5.571417
1398249_at	9.759642	9.564648	9.622795	9.62112	9.741882	9.781641	9.629709	9.588171	9.523666	9.510735	9.41744	9.463284	9.629902	9.312605	9.625763	9.711771	9.60741	9.552324	9.592787	9.667263	9.682184	9.521854	9.866812	9.724684	9.62064	9.572382	9.561348	9.5425415	9.61134
1398250_at	5.1448784	4.311713	7.388246	4.3472295	4.3318386	5.4669175	4.7299395	4.2313347	3.9104948	4.723297	4.103441	3.0509293	4.893962	3.190545	4.023882	5.1565638	3.5975506	4.568637	3.4140782	5.6018467	3.7632394	3.7847142	4.8599114	5.0113506	4.554343	5.2228966	4.931183	3.7847674	3.6653984
1398251_a_at	4.820942	4.8528137	4.859216	4.867728	4.8073416	4.9357615	4.618039	4.86697	5.049926	4.797877	4.793741	4.685979	5.085539	5.364009	4.786171	4.9456263	4.984168	4.7436786	4.8210244	4.9465914	4.640501	4.565376	4.641493	4.9785666	4.7251806	4.81493	4.737133	4.774544	4.9041343
1398252_at	6.9893217	6.84786	6.703639	6.8313584	6.991445	7.0241613	6.9773607	6.987517	6.8218093	6.6651444	6.9471183	6.996847	7.08045	6.7911716	6.996867	6.9493833	6.775132	7.038604	6.942141	6.9555798	6.9730854	6.994183	7.0801125	6.620336	6.999102	6.792486	6.8209033	6.912385	7.0395603
