Something	030816-MW-502_(Rat230_2).CEL	030816-MW-504_(Rat230_2).CEL	030816-MW-506_(Rat230_2).CEL	031516-MW-503_(Rat230_2).CEL	030816-MW-520_(Rat230_2).CEL	030816-MW-508_(Rat230_2).CEL	030816-MW-510_(Rat230_2).CEL	030816-MW-511_(Rat230_2).CEL	031516-MW-509_(Rat230_2).CEL	030816-MW-513_(Rat230_2).CEL	030816-MW-514_(Rat230_2).CEL	030816-MW-515_(Rat230_2).CEL	030816-MW-516_(Rat230_2).CEL	031516-MW-517_(Rat230_2).CEL	030816-MW-526_(Rat230_2).CEL	030816-MW-521_(Rat230_2).CEL	030816-MW-522_(Rat230_2).CEL	030816-MW-523_(Rat230_2).CEL	031516-MW-519_(Rat230_2).CEL	030816-MW-531_(Rat230_2).CEL	030816-MW-528_(Rat230_2).CEL	030816-MW-529_(Rat230_2).CEL	031516-MW-527_(Rat230_2)_2.CEL	031516-MW-530_(Rat230_2).CEL	030816-MW-532_(Rat230_2).CEL	030816-MW-534_(Rat230_2).CEL	031516-MW-535_(Rat230_2).CEL	031516-MW-536_(Rat230_2).CEL	030816-MW-507_(Rat230_2).CEL
Doses	0	0	0	0	0	3	3	3	3	3	30	30	30	30	30	100	100	100	100	100	300	300	300	300	1000	1000	1000	1000	1000
AFFX-BioB-5_at	8.441826	8.674615	8.527392	8.454466	8.608332	8.649384	8.563407	8.440578	8.49465	8.245234	8.627594	8.585497	8.653095	8.346296	8.589441	8.534459	8.560297	8.388928	8.603146	8.615954	8.801566	8.649998	8.729658	8.215559	8.552913	8.44314	8.717443	8.370338	8.744745
AFFX-BioB-M_at	9.025735	9.334078	9.019407	8.948897	9.133138	9.216927	9.160154	9.035814	9.080756	8.792353	9.194849	9.219449	9.064511	8.708	9.066203	9.043898	9.184668	9.1086445	9.036613	9.091186	9.388783	9.111662	9.340579	8.73666	9.115864	8.95883	9.222131	8.9546	9.230251
AFFX-BioB-3_at	8.416784	8.693143	8.412362	8.352711	8.548098	8.586784	8.6036625	8.412549	8.406528	8.138571	8.589798	8.628573	8.457819	8.049079	8.430199	8.468164	8.556847	8.431135	8.410146	8.501466	8.734286	8.540172	8.725036	8.114041	8.468494	8.323057	8.609652	8.375331	8.696578
AFFX-BioC-5_at	9.801664	10.009634	9.784897	9.700164	9.924384	9.956952	9.935494	9.822022	9.808604	9.578005	9.907346	9.957333	9.8780365	9.536151	9.839557	9.821135	9.955423	9.802298	9.781378	9.844859	10.063754	9.830449	10.021119	9.547444	9.818838	9.693458	9.9456	9.686371	9.991618
AFFX-BioC-3_at	9.820206	10.101312	9.915886	9.845557	10.023277	10.043395	9.980848	9.918994	9.98046	9.6893	10.007938	10.059312	9.959891	9.822883	9.928008	9.940724	10.0054	9.960198	9.911321	9.930971	10.15355	9.982604	10.130006	9.658934	9.914992	9.767788	10.02408	9.850109	10.031983
AFFX-BioDn-5_at	10.36912	10.752133	10.530837	10.418192	10.719557	10.67486	10.67663	10.569614	10.662188	10.423075	10.618802	10.737627	10.466987	10.119224	10.677704	10.666678	10.658927	10.492613	10.486567	10.64617	10.814445	10.631046	10.665466	10.4620695	10.588583	10.524094	10.745394	10.543919	10.696579
AFFX-BioDn-3_at	11.672042	11.800403	11.732753	11.611391	11.766856	11.7540865	11.772674	11.646831	11.756414	11.460753	11.681459	11.734696	11.665606	11.663882	11.589124	11.653748	11.820928	11.699174	11.619908	11.646185	11.821874	11.645833	11.818982	11.526482	11.698195	11.567166	11.720806	11.663381	11.814464
AFFX-CreX-5_at	13.344695	13.439643	13.393719	13.232246	13.418617	13.439848	13.435107	13.420833	13.417026	13.276149	13.39052	13.447002	13.231362	13.0536995	13.4245615	13.464217	13.415092	13.298918	13.339734	13.378203	13.518225	13.424431	13.400352	13.267815	13.427338	13.368442	13.442227	13.320454	13.4095545
AFFX-CreX-3_at	13.584822	13.659605	13.652509	13.51114	13.679394	13.672276	13.664114	13.664129	13.6425	13.512368	13.6066885	13.682973	13.616057	13.540473	13.612054	13.706488	13.729295	13.533625	13.562054	13.609475	13.755588	13.686688	13.681396	13.492633	13.686943	13.650253	13.700361	13.565994	13.699284
AFFX-DapX-5_at	6.4924407	6.306978	6.1184216	6.311136	6.452053	7.0089216	6.6888056	6.9252744	6.7547426	6.3104815	6.5855107	7.2365265	6.602604	6.176102	6.834625	6.5156865	6.7680407	6.89101	6.4415474	6.6758933	6.8494444	6.04809	7.008775	6.244582	6.645656	6.6752553	6.582713	6.669996	6.7464232
AFFX-DapX-M_at	7.504304	7.5160065	7.1322994	7.4489994	7.601362	8.047817	7.7057633	8.007393	7.8467436	7.6412044	7.7840815	8.275447	7.6844563	7.613538	7.956433	7.783825	8.044741	7.993009	7.637043	7.7926474	8.027554	7.3074646	8.013931	7.4314737	7.635495	7.742037	7.690667	7.814785	7.990581
AFFX-DapX-3_at	8.201055	8.1408825	7.8633804	8.138389	8.152102	8.602667	8.222159	8.580901	8.426005	8.44268	8.3466215	8.864286	8.383331	8.202168	8.542601	8.514795	8.677341	8.549346	8.207367	8.270108	8.642219	8.006159	8.633454	8.023115	8.338916	8.287955	8.247631	8.375596	8.530921
AFFX-LysX-5_at	3.855446	3.4770622	3.09381	3.748074	4.00179	4.069661	3.8655457	3.9360178	3.7926366	3.7712905	3.7779129	4.1985345	3.8754432	3.856352	4.2805	3.8206074	3.8485644	4.274269	3.644649	3.7751925	3.9872189	3.6386826	3.7686465	3.740337	3.797573	3.6311753	3.66498	3.8130128	3.753659
AFFX-LysX-M_at	4.7711954	5.0424604	4.644935	4.6689386	4.9049745	5.2212906	4.970252	5.3191833	4.714858	4.9806075	5.0111036	5.3115473	5.032137	4.84347	5.199908	5.040141	4.846111	5.3672166	4.794472	4.7851677	5.1321616	4.791722	5.2091837	4.7388854	4.9324603	5.1148415	4.598422	5.0430317	5.3122478
AFFX-LysX-3_at	6.06489	5.8172216	5.669771	5.8362665	6.0045505	6.5078487	5.9889135	6.300875	6.30959	6.2983065	6.249595	6.774054	6.1304674	5.87138	6.443887	6.3927073	6.3057823	6.4627075	5.839031	6.1927032	6.500573	5.8215437	6.3860493	6.0263686	6.110771	6.1022253	6.1728716	6.2819366	6.487815
AFFX-PheX-5_at	5.519044	4.99016	5.0258336	5.1355705	5.567067	5.810375	5.7343535	5.789578	5.4570584	5.3352795	5.417731	6.206609	5.598415	5.2082696	5.9290147	5.677338	5.6647544	5.865505	5.5089273	5.6300526	5.8895893	5.3392687	6.107428	5.0092587	5.5401225	5.7680845	5.5632663	5.6014853	5.8172917
AFFX-PheX-M_at	5.9370847	5.571592	5.6733465	5.717402	6.113929	6.3320646	6.1103315	6.3201575	5.975708	5.8530245	6.033098	6.702406	5.989784	5.771719	6.357267	6.2601542	6.206834	6.268184	5.8249836	5.931635	6.2667046	5.9633107	6.384145	5.683384	6.2160206	6.247561	6.018744	6.161335	6.206558
AFFX-PheX-3_at	7.1151795	6.884863	7.0119247	6.8777432	7.0255613	7.4072003	7.063134	7.281325	7.057607	6.9626417	7.062041	7.4681473	7.1014996	7.1057568	7.1629777	7.1638107	7.305672	7.3118997	6.791982	7.0179014	7.2575426	6.9997516	7.381824	6.8510704	7.168323	7.11596	7.121686	7.234086	7.2994695
AFFX-ThrX-5_at	5.4575195	5.7334867	5.333808	5.545816	5.780087	5.746653	5.539467	5.6229696	5.420886	5.626346	5.5938344	5.973882	5.6170406	5.942802	5.787154	5.6048813	5.8638277	5.5751925	5.5773854	5.7093043	5.737816	5.467847	5.5385437	5.5985966	5.6842585	5.6456223	5.713543	5.827475	5.3861446
AFFX-ThrX-M_at	4.629735	4.462047	4.3948135	4.44057	4.977861	4.9967318	5.032507	4.8864546	4.682188	4.7483873	4.9773407	5.070165	4.64999	4.533057	5.159625	5.00766	4.8709497	5.090639	4.4351726	5.135466	5.0110087	4.2753134	5.090599	4.1997356	4.5755253	4.7451587	4.8328094	4.6355324	5.156522
AFFX-ThrX-3_at	6.2900605	5.8256083	5.641765	6.1674814	6.4854646	6.539703	6.2202387	6.6046505	6.4078374	6.4757805	6.349472	6.8051567	6.328059	5.9328227	6.540143	6.55836	6.629082	6.5713477	6.117792	6.5927553	6.483986	5.860448	6.7096515	5.925982	6.2509675	6.508928	6.2600536	6.2625785	6.6641383
AFFX-TrpnX-5_at	2.5839806	2.5293534	2.5612597	2.648642	2.4232213	2.3428445	2.52264	2.4367232	2.60666	2.5042365	2.613344	2.3851972	2.5163264	2.56389	2.63405	2.5444276	2.6272802	2.4743438	2.633408	2.5100443	2.449771	2.4892755	2.5731263	2.4969018	2.488785	2.5728161	2.5125227	2.6245813	2.5291717
AFFX-TrpnX-M_at	2.6116083	2.562425	2.5568018	2.5642338	2.5746412	2.521315	2.566883	2.4534905	2.5448232	2.5890436	2.6606655	2.6436772	2.6945014	2.5345883	2.4885263	2.4557767	2.5294826	2.495574	2.5985796	2.6163762	2.6060326	2.528673	2.3908598	2.509265	2.5547724	2.5992796	2.5612388	2.5131094	2.4320762
AFFX-TrpnX-3_at	2.2781065	2.3127735	2.4197183	2.3080785	2.3399992	2.3687685	2.315252	2.3258138	2.4135785	2.3660436	2.251469	2.3133774	2.4216065	2.4101105	2.4074452	2.3696744	2.4485602	2.292895	2.495686	2.4865243	2.2828588	2.3019168	2.5344675	2.280155	2.292811	2.3989174	2.508418	2.3064928	2.3647823
AFFX-r2-Ec-bioB-5_at	8.736387	8.9815645	8.708182	8.703523	8.900485	8.8397455	8.881634	8.758089	8.761248	8.627937	8.987074	8.962027	8.860738	8.811378	8.922352	8.882773	8.891095	8.854641	8.806234	8.868359	8.994372	8.905946	8.920439	8.479017	8.829046	8.623013	8.961836	8.571351	9.03864
AFFX-r2-Ec-bioB-M_at	9.229113	9.482032	9.234929	9.291034	9.428907	9.449061	9.406528	9.369259	9.358274	9.18733	9.50581	9.496693	9.44516	9.386702	9.297948	9.445066	9.562714	9.376291	9.322388	9.400259	9.621854	9.412555	9.574821	9.082497	9.3343935	9.165582	9.467454	9.208919	9.638912
AFFX-r2-Ec-bioB-3_at	8.967815	9.241211	8.966677	8.855574	9.105841	9.177801	9.041916	9.061177	9.055127	8.836987	9.143387	9.223286	9.079863	8.935952	8.995495	9.046579	9.241688	9.097815	9.084151	9.1154585	9.269512	9.09626	9.232979	8.736477	9.005955	8.842379	9.195181	8.906587	9.290129
AFFX-r2-Ec-bioC-5_at	10.081072	10.378265	10.064787	10.102324	10.272715	10.298647	10.24181	10.082603	10.177584	9.961674	10.294903	10.274603	10.262604	10.282635	10.181742	10.108294	10.271601	10.181713	10.182724	10.206606	10.325371	10.170092	10.364931	9.916346	10.078209	9.944569	10.2766075	10.025505	10.478991
AFFX-r2-Ec-bioC-3_at	10.205154	10.395805	10.141399	10.178012	10.307793	10.29175	10.226064	10.169073	10.25784	10.001504	10.374233	10.301672	10.348372	10.318015	10.15802	10.198195	10.394179	10.245752	10.277254	10.239483	10.398197	10.214193	10.440309	9.984208	10.150058	10.049267	10.336296	10.098494	10.489059
AFFX-r2-Ec-bioD-5_at	11.88146	12.124926	11.962473	11.941825	12.013535	12.0792	11.954504	11.977402	12.036015	11.869361	12.049192	12.070398	12.032406	11.98939	11.892342	12.020715	12.174463	11.982664	11.945465	11.977698	12.155029	12.022376	12.089065	11.866297	11.945702	11.90321	12.054598	11.884813	12.12938
AFFX-r2-Ec-bioD-3_at	12.514297	12.740011	12.538197	12.571425	12.564677	12.625552	12.571816	12.563018	12.610211	12.419236	12.665652	12.613475	12.615072	12.682793	12.5119705	12.578191	12.694884	12.530297	12.546239	12.513655	12.698672	12.568869	12.628155	12.456632	12.509926	12.428524	12.617089	12.449285	12.685191
AFFX-r2-P1-cre-5_at	13.736894	13.884675	13.807986	13.813179	13.861372	13.873965	13.821805	13.821805	13.878476	13.786735	13.882797	13.867459	13.861703	13.743271	13.817855	13.868553	13.905139	13.796065	13.801655	13.822255	13.92688	13.8585005	13.894859	13.810997	13.793259	13.787014	13.857694	13.829018	13.899984
AFFX-r2-P1-cre-3_at	14.1129875	14.240957	14.157768	14.164682	14.212026	14.211296	14.20576	14.1848345	14.220658	14.151661	14.235483	14.225805	14.137922	14.167965	14.202381	14.239194	14.25398	14.142114	14.144031	14.229563	14.296284	14.21751	14.209141	14.209141	14.173645	14.200221	14.246753	14.19766	14.247183
AFFX-r2-Bs-dap-5_at	6.915712	6.702612	6.392959	6.7323723	7.0366144	7.4019394	7.033676	7.4058685	7.0846457	6.557107	7.0918264	7.5797596	7.1000643	6.6571965	7.2689514	7.0172553	7.5567904	7.172884	6.7723227	7.2443743	7.3870373	6.4976306	7.4864497	6.65474	7.1464286	7.112693	7.3319163	7.0670476	7.242049
AFFX-r2-Bs-dap-M_at	7.708932	7.661749	7.169634	7.4385033	7.794349	8.288432	7.8385205	8.154327	8.213307	8.004193	7.932299	8.3863125	7.7400036	7.5172477	8.191545	7.9750423	8.111467	7.953892	7.7101145	7.9790273	8.091678	7.511388	7.9589486	7.554805	7.7406254	7.906218	7.875605	7.9809065	8.0657625
AFFX-r2-Bs-dap-3_at	8.989088	8.927671	8.721245	8.885416	8.902668	9.368944	8.986483	9.337919	9.185511	9.202936	9.142752	9.59355	9.040741	8.7807045	9.328766	9.307215	9.346891	9.301123	8.727087	9.02273	9.376656	8.834011	9.250177	8.844273	9.116922	9.103357	9.008955	9.129711	9.202747
AFFX-r2-Bs-lys-5_at	4.021472	3.8759592	3.5696673	3.4614923	3.8482842	4.970171	4.540021	4.51716	4.200315	4.223249	4.4197764	5.1531687	4.6676364	3.4884539	4.8206205	4.810609	4.2286167	4.5122547	3.8703282	4.5160275	4.7507305	4.0214653	4.500838	3.9293878	4.270092	4.3640137	3.843287	4.2824945	4.542996
AFFX-r2-Bs-lys-M_at	4.0869317	4.0640965	3.7232623	4.044712	4.7782416	4.8244653	4.4388723	4.9495645	4.53647	4.714514	4.192214	5.271246	4.219628	3.8969123	4.91392	4.6753073	4.4645343	5.276267	4.2608433	4.683496	4.6427493	4.272279	4.493075	4.0471563	4.494068	4.366851	4.3499928	4.498864	4.9884434
AFFX-r2-Bs-lys-3_at	4.9290447	4.9867225	4.204621	4.7660427	4.9236956	5.3840003	5.0084724	5.416738	5.2564354	5.1496906	4.9515214	5.9474626	5.1614103	4.4740343	5.565897	5.3728776	5.296327	5.5102334	4.9639935	5.47164	5.4398384	4.7177005	5.288716	4.6383834	4.841275	5.226734	4.884591	5.140734	5.3014054
AFFX-r2-Bs-phe-5_at	5.704603	5.4868946	5.3177857	5.2073402	5.6753206	6.0717163	5.8584423	5.9983106	5.5462794	5.3956957	5.7124414	6.338846	5.72933	5.037059	6.036557	5.835824	5.857747	5.965459	5.3800774	5.494625	5.923046	5.621217	6.0629287	4.8105087	5.9419117	5.781678	5.7444534	5.5054646	5.974196
AFFX-r2-Bs-phe-M_at	5.8936644	5.728514	5.4923925	5.242831	5.9626594	6.347546	6.1185985	6.204336	5.9150968	6.0743446	6.08663	6.6825123	6.142107	5.0343513	6.297288	6.2114463	6.124491	6.2600336	5.7910423	5.986827	6.2177157	5.7997804	6.3623924	5.7375674	5.9976087	6.1742	6.0538583	5.9979157	5.9652753
AFFX-r2-Bs-phe-3_at	7.221317	7.19671	7.0401044	7.043478	7.333649	7.6346517	7.4142513	7.715484	7.555791	7.418278	7.479833	7.87164	7.488937	7.09541	7.5701003	7.58559	7.6048064	7.431195	7.3235717	7.3453813	7.6139445	7.376077	7.6918383	7.3675222	7.534151	7.6280084	7.3808074	7.458468	7.6174273
AFFX-r2-Bs-thr-5_s_at	4.724371	4.468298	4.1451626	4.5679817	4.51894	5.141778	4.2788534	5.1851783	4.422963	4.1891327	4.2094154	4.690512	5.070547	4.6076026	4.8758473	4.6657844	4.628119	4.621769	4.2040796	5.101538	4.4762077	4.4051843	5.315072	4.0722613	4.663891	5.085428	4.3466024	4.218517	4.8731065
AFFX-r2-Bs-thr-M_s_at	5.4251213	5.22818	5.187984	5.3558416	6.0875683	5.923654	5.428008	5.7392993	5.6673584	5.5711327	5.2226496	5.905839	5.3409696	5.5010867	5.758739	5.4472437	5.8540764	5.95243	5.577832	5.720324	5.7648134	5.194601	5.8046317	5.520932	5.6144843	5.5292788	5.5801024	5.5842824	5.8109913
AFFX-r2-Bs-thr-3_s_at	6.3277445	5.7946405	5.785244	6.2170496	6.577627	6.5715547	6.3048797	6.5504513	6.38406	6.463425	6.2969866	6.833009	6.5189166	6.1737146	6.5517263	6.6755486	6.757082	6.584964	6.077387	6.677697	6.495998	5.8088	6.766436	5.847672	6.3852544	6.5579777	6.257706	6.194416	6.7294264
AFFX_Rat_GAPDH_5_at	12.212418	12.348389	12.07573	12.163166	12.249834	12.193739	11.986136	12.13911	11.955963	12.019004	12.087604	12.07243	12.142754	11.894946	12.045689	11.885452	11.891497	12.159044	12.104848	12.213192	12.019689	11.922678	12.032601	12.035922	12.16596	11.968003	12.041847	12.142464	12.170907
AFFX_Rat_GAPDH_M_at	11.991965	12.138327	11.9102125	12.00082	12.046358	12.00506	11.786351	11.908343	11.784431	11.960802	11.889115	11.8730545	11.98689	11.823499	11.816633	11.640532	11.694715	11.979259	11.9193535	11.981513	11.803294	11.713067	11.906723	11.86579	11.915517	11.748016	11.791176	11.986458	11.990548
AFFX_Rat_GAPDH_3_at	12.097207	12.2609825	12.0949335	12.160368	12.146254	12.184824	11.924204	12.095106	12.012293	12.271243	12.077356	12.053137	12.098592	11.981206	12.016734	11.921153	11.9274435	12.07012	12.064935	12.105428	12.071988	11.953076	12.055751	12.061814	12.125272	11.967301	11.980873	12.117668	12.093802
AFFX_Rat_Hexokinase_5_at	2.5504026	2.7644267	2.5637362	2.6706283	2.7843034	2.6898859	2.688354	2.8868685	2.687899	2.8084714	2.6395302	2.8281043	2.6592665	2.7006786	2.5796602	2.5603704	2.6540668	2.6863987	2.5352533	2.7702758	2.5490441	2.7358074	2.7194102	2.7328007	2.7456331	2.756465	2.690041	2.8394156	2.5263662
AFFX_Rat_Hexokinase_M_at	5.1347	5.2686167	5.0308	5.123951	4.9980245	5.0011406	5.160594	4.982623	5.2598896	5.201583	5.1398163	5.209283	4.998085	5.1488724	4.932546	5.173354	5.1907196	5.023654	5.2098107	4.990522	5.057631	4.797874	4.9672594	5.2091746	5.2013187	5.1197367	5.124092	5.264933	5.0256124
AFFX_Rat_Hexokinase_3_at	3.7573752	3.7971663	3.9451206	3.7953565	3.923103	3.7983248	3.9091456	3.7807217	4.009174	3.7657218	3.8955154	3.8918722	3.834813	4.0043836	3.9683387	3.8924916	3.9886675	3.7978377	3.9143715	3.8581839	3.7484884	3.992277	3.9142797	4.0267973	3.981364	4.0034795	4.019359	3.9222777	4.0190525
AFFX_Rat_beta-actin_5_at	10.628391	10.650889	10.132488	10.289782	10.486161	10.71036	10.534188	10.4779415	10.306296	9.994467	10.366846	10.414872	10.675299	10.54118	10.587911	10.265963	10.603577	10.649332	10.599944	10.614519	10.614065	10.115301	10.624054	10.272414	10.43965	10.350396	10.285288	10.439507	10.551297
AFFX_Rat_beta-actin_M_at	11.388678	11.364691	10.98426	11.1216755	11.230167	11.435005	11.259672	11.315753	11.115261	10.960739	11.120391	11.152063	11.458298	11.328314	11.274375	11.027614	11.406387	11.394073	11.340841	11.325261	11.387339	10.917534	11.36586	11.10503	11.244201	11.128113	11.020196	11.169592	11.212833
AFFX_Rat_beta-actin_3_at	11.881063	11.882601	11.551143	11.647196	11.729707	11.97839	11.796556	11.807564	11.604521	11.790815	11.70574	11.713337	11.996174	11.865162	11.830223	11.688318	11.928269	11.886526	11.866763	11.85442	11.9729185	11.589643	11.897194	11.718078	11.83128	11.689484	11.627339	11.737555	11.823452
AFFX_rat_5S_rRNA_at	5.839944	5.1082196	5.1167784	5.249467	5.3746905	5.7657166	6.043896	5.536572	5.117342	5.8889923	5.705138	5.997846	5.9472136	5.4314137	5.9812284	5.8008957	5.662569	5.6251893	5.6039495	5.3345494	6.2129674	5.2826533	6.041686	5.365078	5.690696	5.987242	5.808809	5.3478055	5.1791716
AFFX_ratb1/X12957_at	5.1586742	5.4473057	5.346428	5.4471436	5.6596594	5.3608146	5.372227	5.43123	5.600614	5.6321287	5.5464606	5.6200304	5.3668137	5.4573164	5.5711093	5.5129523	5.378042	5.3038507	5.3818493	5.4566584	5.656094	5.4325223	5.2811494	5.357838	5.4450235	5.5306296	5.4620867	5.3195257	5.334134
AFFX_ratb2/X14115_at	3.0623066	2.9399712	2.9048827	2.8560052	2.904869	2.8686721	2.8128724	2.942187	3.0907161	2.9184864	3.0307558	2.9329915	2.860388	3.2235646	2.9611764	2.9935877	3.0581717	2.9513876	3.069224	2.9186532	2.8657863	2.8187525	3.1527355	3.122453	2.9710062	3.0187876	3.1037889	3.0103772	2.8442187
1367452_at	10.0237255	10.014769	9.973291	9.923899	9.9739	10.033245	9.895033	10.021944	9.944912	9.922688	9.967133	9.95985	9.969677	9.9665165	9.969227	10.018133	9.926788	10.0400715	9.943569	9.967751	9.938545	9.9586735	9.988016	9.761114	10.065844	9.937412	9.903971	9.9183655	9.974304
1367453_at	9.116342	8.927929	8.841185	9.04398	9.066109	9.270049	8.982744	8.986168	8.973531	9.002639	8.898829	9.045144	9.158805	9.130037	9.025968	9.0239315	9.045145	9.1708555	9.140143	9.042811	8.937871	8.81282	9.221862	8.900224	9.043722	8.884054	8.943344	8.959332	9.060677
1367454_at	10.165522	10.056496	10.104532	10.05241	9.964991	10.122364	10.043703	10.08091	10.140434	10.0085125	10.041664	9.950476	10.082412	9.912985	9.993179	10.129019	10.036947	10.153263	9.967728	10.083384	10.0271225	10.071487	9.992935	9.878733	10.006214	9.953453	10.022772	10.032064	10.022791
1367455_at	11.432516	11.457916	11.357281	11.299082	11.459471	11.372498	11.373465	11.372923	11.276859	11.317938	11.351303	11.348376	11.461121	11.366171	11.348824	11.347616	11.356579	11.416899	11.38279	11.460453	11.39905	11.460978	11.541029	11.337227	11.361824	11.410318	11.418608	11.377455	11.400169
1367456_at	11.814458	11.710917	11.739015	11.703205	11.711895	11.688633	11.749751	11.739903	11.648178	11.584915	11.717867	11.679123	11.757661	11.701045	11.706621	11.754461	11.831609	11.684465	11.715657	11.678134	11.760336	11.804419	11.751218	11.644022	11.766919	11.780734	11.727481	11.686568	11.648033
1367457_at	9.193	9.219459	9.239702	9.155465	9.223524	9.258951	9.230765	9.166303	9.05512	9.1925955	9.181971	9.116558	9.274067	9.14542	9.217341	9.237752	9.159792	9.2569475	9.20755	9.195135	9.141696	9.320216	9.240269	8.954466	9.241319	9.134906	9.138405	9.067733	9.15527
1367458_at	8.102204	8.076482	8.083455	8.1248865	8.173052	7.945361	8.220264	8.099448	8.120208	7.927125	8.092712	7.9946704	8.19823	8.106547	8.013788	8.151795	8.081018	8.194728	8.218423	8.078247	7.993619	8.128798	8.050459	8.141031	8.214549	8.037748	8.077316	8.134655	8.068232
1367459_at	12.02729	11.878234	11.955296	11.9239235	11.954931	11.991577	11.96489	11.908614	11.871372	11.867252	11.810355	11.817324	11.875849	11.960645	11.911026	11.955272	11.811992	11.969206	11.903497	11.918003	11.779839	11.918423	11.856048	11.854864	11.934428	11.875513	11.7973795	11.84497	11.954429
1367460_at	11.227658	11.272523	11.329493	11.097687	11.251722	11.235154	11.224882	11.22854	11.174028	11.363914	11.196346	11.1271305	11.20359	11.093462	11.267523	11.310499	11.338514	11.161711	11.129964	11.202672	11.309779	11.365697	11.27064	11.091894	11.398181	11.258672	11.271001	11.273859	11.270378
1367461_at	9.641512	9.638338	9.62088	9.501531	9.496355	9.492346	9.538677	9.628372	9.570535	9.519125	9.369522	9.485323	9.570253	9.513216	9.418089	9.533934	9.559673	9.605999	9.438564	9.507565	9.442968	9.567162	9.548674	9.194511	9.54047	9.322266	9.460802	9.315601	9.631521
1367462_at	10.845938	10.79786	10.706463	10.660759	10.801177	10.783467	10.740519	10.753104	10.523837	10.669107	10.52305	10.56958	10.605828	10.670836	10.701145	10.669209	10.662597	10.908957	10.74398	10.759454	10.467565	10.617543	10.628227	10.614831	10.703856	10.668443	10.563987	10.623817	10.774447
1367463_at	10.465474	10.275191	10.434864	10.294431	10.380731	10.5662	10.288282	10.309781	10.238469	10.2676735	10.342092	10.315084	10.451581	10.194438	10.272941	10.344506	10.443871	10.336577	10.439007	10.312235	10.359895	10.309693	10.465478	10.294958	10.453377	10.29123	10.170503	10.283716	10.461052
1367464_at	9.328766	9.235193	9.145197	9.00816	9.163214	9.308792	9.211975	9.105194	8.982784	9.177488	9.134756	9.111029	9.220375	8.900351	9.224757	9.291815	9.102192	9.202778	9.254404	9.190753	9.048611	9.084513	9.1877	8.895872	9.202627	9.021423	9.047203	8.973854	9.254053
1367465_at	10.408715	10.475596	10.469701	10.454406	10.4568	10.471119	10.393999	10.381146	10.433272	10.521918	10.4116535	10.410203	10.416985	10.320316	10.517926	10.419067	10.378771	10.53617	10.448002	10.510721	10.314084	10.688785	10.455564	10.520285	10.533565	10.590104	10.57288	10.525198	10.49895
1367466_at	9.29918	9.472677	9.56835	9.507519	9.40022	9.222301	9.343541	9.432218	9.35268	9.355812	9.511159	9.405409	9.506592	9.24867	9.239376	9.327314	9.672605	9.49066	9.265236	9.487263	9.603841	9.572008	9.453315	9.250879	9.409366	9.393635	9.585819	9.547908	9.490808
1367467_at	11.373825	11.246769	11.412968	11.382053	11.419647	11.320473	11.326637	11.29351	11.31311	11.299278	11.376823	11.439074	11.498766	11.308895	11.361982	11.336271	11.361919	11.306305	11.380796	11.329191	11.345585	11.27643	11.381252	11.237408	11.266962	11.327053	11.310745	11.375191	11.370916
1367468_at	9.77138	9.645512	9.677107	9.53211	9.636078	9.737447	9.67857	9.732094	9.404694	9.579935	9.559605	9.657226	9.557156	9.339038	9.711021	9.722286	9.64139	9.750479	9.590817	9.617149	9.522494	9.624485	9.556256	9.424585	9.534974	9.60632	9.585786	9.381094	9.763698
1367469_at	11.891015	11.893357	11.701855	11.803844	11.627252	11.824372	11.831396	11.849927	11.792306	11.91565	11.786504	11.675162	11.751196	11.562121	11.827831	11.68331	11.700605	11.724473	11.72892	11.69489	11.650409	11.67143	11.705572	11.873383	11.751398	11.675187	11.707983	11.634079	11.729262
1367470_at	9.952229	9.814552	9.849514	9.837496	9.868489	9.7376795	9.94359	9.994814	9.772631	9.787706	9.770462	9.861385	9.87018	9.865461	9.813019	9.684663	9.863649	9.843858	9.842602	9.766839	9.750347	9.8005085	9.894403	9.790466	9.926136	9.8284645	9.7306385	9.756069	9.921192
1367471_at	8.996447	8.890755	8.940749	8.937981	9.092812	9.226002	8.981485	8.937304	8.849909	8.921623	8.891792	8.92443	8.969128	8.669961	8.997692	9.054138	8.987854	9.001541	8.958616	8.97505	8.926262	8.904204	8.9508915	8.898855	8.937767	8.974083	8.853468	8.778034	8.992023
1367472_at	9.16629	9.045092	9.203089	8.908161	9.025059	9.038329	8.978012	9.005645	8.922883	9.152475	9.1048565	8.849201	9.124088	8.939094	8.981454	9.038025	8.965882	9.099953	9.002512	9.16413	8.919082	9.168331	9.226336	8.851603	9.083544	8.961992	9.043944	9.0006075	9.10716
1367473_at	9.510324	9.513458	9.560339	9.604602	9.622547	9.577569	9.669161	9.538143	9.511112	9.718091	9.55958	9.544427	9.6027	9.317314	9.504013	9.571695	9.492304	9.497568	9.519571	9.520953	9.49999	9.541898	9.528399	9.527746	9.43232	9.504205	9.47704	9.592303	9.596841
1367474_at	9.924812	9.7238245	10.026225	9.708723	9.859306	9.694876	9.772367	9.91167	9.727386	9.881274	9.7346735	9.692543	9.896759	9.55032	9.716883	9.769371	9.889626	9.756875	9.723049	9.787867	9.701514	9.831877	9.865145	9.582886	9.882195	9.713712	9.743157	9.731388	9.825864
