Something	702-030916-MW_(Rat230_2).CEL	703-030916-MW_(Rat230_2).CEL	705-030916-MW_(Rat230_2).CEL	706-030916-MW_(Rat230_2).CEL	707-030916-MW_(Rat230_2).CEL	708-030916-MW_(Rat230_2).CEL	710-030916-MW_(Rat230_2).CEL	712-030916-MW_(Rat230_2).CEL	713-030916-MW_(Rat230_2).CEL	714-030916-MW_(Rat230_2).CEL	715-030916-MW_(Rat230_2).CEL	717-030916-MW_(Rat230_2).CEL	719-030916-MW_(Rat230_2).CEL	720-030916-MW_(Rat230_2).CEL	721-030916-MW_(Rat230_2).CEL	724-030916-MW_(Rat230_2).CEL	726-030916-MW_(Rat230_2).CEL	727-030916-MW_(Rat230_2).CEL	728-030916-MW_(Rat230_2).CEL	729-030916-MW_(Rat230_2).CEL	730-030916-MW_(Rat230_2).CEL	732-030916-MW_(Rat230_2).CEL	733-030916-MW_(Rat230_2).CEL	734-030916-MW_(Rat230_2).CEL	735-030916-MW_(Rat230_2).CEL	736-030916-MW_(Rat230_2).CEL
1394247_x_at	4.7811294	4.6841135	4.5330224	4.7514687	4.4584103	4.681771	4.4214277	4.6124835	4.5451436	4.7540092	4.5116076	4.667122	4.496262	4.677038	4.6625986	4.445543	4.6318464	4.5406	5.0262623	4.6622176	4.441554	5.11314	4.74108	4.3965464	4.677124	4.3019896
1394253_at	3.8833482	3.8625104	3.7141256	3.9740055	4.0206814	3.6562126	3.8008885	3.9044802	4.0038257	4.022514	3.4743564	3.8447483	3.8817132	3.9727943	4.049038	3.7704046	3.9704132	3.985358	4.026848	3.771718	4.0142574	3.9758599	3.8396149	4.0299273	3.726067	3.7911463
1394290_at	5.943426	5.946993	6.3293777	5.7657657	5.6487775	6.1934047	6.1929955	5.9904056	6.0122037	5.9654055	6.018719	5.993898	6.0426536	6.0784163	6.200721	5.863467	6.396024	6.1281037	6.396449	5.7569447	6.2658186	6.4035096	5.870905	5.7886214	6.0810246	5.9908957
1394291_at	5.2105904	5.1686006	5.3051243	5.2386065	5.1416297	5.184756	5.3648252	5.1127357	5.3772435	5.314158	5.279413	5.3451166	5.1444016	5.163454	5.13312	5.1689296	5.2594705	5.2482834	5.172274	5.327332	5.205035	5.315977	5.211759	5.3047886	5.140356	5.1914306
1394292_at	7.5757456	7.636515	7.4851413	7.540137	7.5502105	7.5142803	7.4256325	7.541148	7.5138726	7.4831967	7.5265346	7.5634	7.3354406	7.5700116	7.7841406	7.3131585	7.6909146	7.5509367	7.5422883	7.442239	7.5995874	7.365038	7.373291	7.4345064	7.297377	7.752841
1394293_at	4.7814517	4.882759	4.985572	4.744859	5.1494083	4.8231335	4.8082795	4.7871466	4.5415072	5.0972877	4.6016273	4.7633896	4.8712173	4.799719	4.9275417	4.774902	5.116826	4.7670255	4.484649	5.026936	4.726887	4.7454185	5.0293164	4.6955094	4.695968	4.9679174
1394316_a_at	4.246546	4.267489	4.5025787	4.2664566	4.5590463	4.537233	4.6320577	4.481899	4.591756	4.531356	4.5226345	4.4344826	4.4908032	4.570732	4.484669	4.519694	4.425462	4.72911	4.485545	4.451112	4.6619716	4.758837	4.426991	4.4769382	4.54781	4.469038
1394323_at	3.6584291	3.6236439	3.4032636	3.7403579	3.4349208	3.3265128	3.6683412	3.501605	3.4234762	3.5952013	3.2693915	3.212175	3.3970954	3.4265845	3.4966006	3.3519404	3.4830818	3.3197074	3.4055357	3.5197914	3.3521261	3.528732	3.4758606	3.3789964	3.4604378	3.3334184
1394330_at	4.835347	4.4928713	4.706506	5.014891	4.676025	4.9375	5.0409684	4.6854324	4.425235	5.242586	4.626914	5.0983276	4.911476	4.817651	5.1671996	4.491477	4.3659334	4.894747	4.584113	4.9787374	4.6925144	5.9053183	4.5117235	5.068102	4.6085463	3.9000943
1394338_x_at	2.8906577	2.9725778	3.0097861	2.8807108	2.7984605	2.833603	2.721739	2.858233	2.7360876	2.8110826	2.7818723	3.1357694	2.89116	2.871748	3.0014718	3.0841832	3.0110774	2.9903047	2.8542635	3.062337	2.9863129	3.0100062	2.9120514	3.0098538	2.954914	2.8493273
1394340_at	5.9877987	5.80727	5.683992	5.937599	5.7968254	5.7512436	5.6274867	5.7733545	5.6651454	5.8647633	6.262929	5.9149613	5.671466	5.789407	6.0637746	6.0619397	6.3416524	6.2244353	5.644784	5.7819824	5.9991293	5.7467785	5.7053833	5.6459765	5.5545635	6.1594396
1394343_s_at	2.2813098	2.4599097	2.4192398	2.4607465	2.467967	2.3067129	2.546195	2.2584531	2.5844927	2.6154466	2.4753342	2.5176458	2.4794571	2.599094	2.514829	2.4381604	2.559611	2.3834355	2.5564208	2.2922354	2.521958	2.4368181	2.5164	2.553565	2.59112	2.3530793
1394347_at	2.1714685	2.6465309	2.6901348	2.6787305	2.4909103	2.7131488	2.8698633	2.7086627	2.5467408	2.747769	2.7020087	2.7409577	2.5742989	2.699154	2.7138782	2.7144358	2.6081212	2.6456568	2.6045523	2.5544128	2.7647831	2.4997017	2.420594	2.5559223	2.9255025	2.5654023
1394371_at	5.2974663	5.417513	5.287821	4.646516	5.3570957	5.343007	4.776188	4.8959475	5.3894396	4.6005974	5.391061	5.02479	4.9930754	5.1394043	5.1756563	5.160659	4.9546976	5.034898	5.1880894	5.2168846	5.3773985	5.3365774	4.9071417	5.02792	4.933811	5.565831
1394378_at	5.787278	5.954337	5.8962083	5.896166	5.807198	5.651552	5.964035	5.9132476	5.958508	6.0485926	5.853152	6.005643	5.8356123	5.831129	5.8101463	5.8258305	5.727504	5.6870127	5.6047153	5.8502154	5.923956	5.8084803	5.921338	5.976715	5.9170885	5.9678807
1394384_at	3.2228136	3.2971435	3.4027743	3.7296736	3.392043	3.2707386	3.561906	3.3897915	3.4523172	3.6326032	3.2877283	3.2812648	3.3121433	3.3059494	3.4177155	3.6306858	3.702888	3.2709556	3.223875	3.5263023	3.6268272	3.2299829	3.5673137	3.2908711	3.4607677	3.4217496
1394385_s_at	5.546469	5.5764313	5.5516796	5.439419	5.4197063	5.6439204	5.572171	5.4419384	5.7188206	5.69798	5.1930895	5.463274	5.305464	5.4706564	5.536441	5.5603247	5.458869	5.3579016	5.4637136	5.6462507	5.281312	5.5246835	5.451414	5.598731	5.4717426	5.4395323
1394386_s_at	6.164838	6.0807877	5.867268	6.1294527	6.080089	6.0737324	6.3731537	6.1312594	6.133504	6.0474935	5.824921	6.1368475	5.8786526	6.0255895	6.207601	6.188615	6.0591145	6.18862	6.3661003	6.2529488	6.304452	6.266863	6.1285915	6.0688543	6.1379967	6.019521
1397161_a_at	5.937626	6.177669	6.0118413	5.8645477	6.007187	6.0538173	6.007158	5.5931826	5.9678955	5.5903764	5.9637227	6.161397	5.80454	5.9404364	5.9113455	6.0504665	5.8269496	5.8933673	6.1544185	5.798465	6.046533	5.7337275	5.907687	5.990629	5.998865	5.846094
1397162_x_at	2.5202146	2.580225	2.5685272	2.4597256	2.406849	2.6772728	2.7426567	2.5335073	2.7514143	2.472641	2.551363	2.6512866	2.5096831	2.4230547	2.5088334	2.5554624	2.4959283	2.567308	2.35064	2.381977	2.5946455	2.3383427	2.656005	2.5280066	2.3360338	2.3293161
1398240_at	12.256122	12.764416	12.928994	12.401692	12.685717	12.6137295	12.760601	12.453642	12.3442	12.366429	12.49874	12.595371	12.565567	12.69254	12.565531	12.600995	12.587612	12.515341	12.628991	12.266005	12.616199	12.341145	12.745401	12.668824	12.685191	12.649745
