Something	702-030916-MW_(Rat230_2).CEL	703-030916-MW_(Rat230_2).CEL	705-030916-MW_(Rat230_2).CEL	706-030916-MW_(Rat230_2).CEL	707-030916-MW_(Rat230_2).CEL	708-030916-MW_(Rat230_2).CEL	710-030916-MW_(Rat230_2).CEL	712-030916-MW_(Rat230_2).CEL	713-030916-MW_(Rat230_2).CEL	714-030916-MW_(Rat230_2).CEL	715-030916-MW_(Rat230_2).CEL	717-030916-MW_(Rat230_2).CEL	719-030916-MW_(Rat230_2).CEL	720-030916-MW_(Rat230_2).CEL	721-030916-MW_(Rat230_2).CEL	724-030916-MW_(Rat230_2).CEL	726-030916-MW_(Rat230_2).CEL	727-030916-MW_(Rat230_2).CEL	728-030916-MW_(Rat230_2).CEL	729-030916-MW_(Rat230_2).CEL	730-030916-MW_(Rat230_2).CEL	732-030916-MW_(Rat230_2).CEL	733-030916-MW_(Rat230_2).CEL	734-030916-MW_(Rat230_2).CEL	735-030916-MW_(Rat230_2).CEL	736-030916-MW_(Rat230_2).CEL
Doses	0	0	0	0	3	3	3	3	30	30	30	30	100	100	100	100	300	300	300	300	300	1000	1000	1000	1000	1000
AFFX-BioB-5_at	8.393947	8.426044	8.321925	8.482195	8.46816	8.581916	8.534068	8.482661	8.493611	8.9734335	8.467152	8.460837	8.405785	8.384923	8.798787	8.167885	8.388294	8.341	8.463413	8.312627	8.539917	8.292908	8.499135	8.180288	8.336332	8.327254
AFFX-BioB-M_at	8.878075	9.030807	8.890954	8.868781	8.964101	9.191846	9.0429325	9.08415	8.980135	9.500997	8.950906	9.043586	9.024047	8.839707	9.294856	8.733483	8.905965	8.954865	9.008243	9.036597	9.051208	8.805146	9.087368	8.819501	8.86977	8.950157
AFFX-BioB-3_at	8.347865	8.488561	8.238417	8.352332	8.46033	8.569962	8.499361	8.509042	8.438525	8.909188	8.364164	8.4146	8.367812	8.245124	8.770788	8.090094	8.349093	8.395708	8.47398	8.474528	8.473489	8.265698	8.433097	8.148765	8.249102	8.307171
AFFX-BioC-5_at	9.779931	9.776716	9.618319	9.721976	9.750202	9.934698	9.859658	9.835362	9.812539	10.309686	9.765391	9.801724	9.784798	9.64719	10.150047	9.5316515	9.665646	9.724061	9.866222	9.847186	9.830278	9.635123	9.809895	9.54034	9.675407	9.7224865
AFFX-BioC-3_at	9.807508	9.9397	9.76225	9.842533	9.872047	10.010731	9.925448	9.926465	9.919717	10.356501	9.878802	9.905285	9.823867	9.73875	10.200499	9.627886	9.771713	9.805897	9.89304	9.9938135	9.921438	9.73245	9.87872	9.707282	9.766906	9.764213
AFFX-BioDn-5_at	10.473487	10.491057	10.50107	10.353322	10.57974	10.716256	10.579345	10.555635	10.512619	11.052641	10.563319	10.545662	10.637158	10.389858	10.819703	10.362221	10.511903	10.49873	10.516533	10.642436	10.606995	10.50278	10.551124	10.42568	10.480223	10.444768
AFFX-BioDn-3_at	11.507712	11.617267	11.494469	11.610095	11.6333065	11.742982	11.676425	11.658664	11.686274	12.083178	11.537869	11.629806	11.595168	11.501165	11.895839	11.4000435	11.544678	11.538538	11.635494	11.659517	11.592961	11.484157	11.685906	11.471788	11.448595	11.5019045
AFFX-CreX-5_at	13.320483	13.390559	13.350905	13.235541	13.355031	13.477845	13.407934	13.431098	13.3325205	13.651875	13.397398	13.363507	13.432764	13.3282175	13.518558	13.248227	13.327092	13.367222	13.397541	13.459216	13.443297	13.395012	13.428395	13.334231	13.325386	13.30468
AFFX-CreX-3_at	13.534827	13.592284	13.5469885	13.565731	13.576657	13.722292	13.667829	13.6843605	13.605198	13.850687	13.603022	13.597179	13.647697	13.541703	13.724235	13.500607	13.5723715	13.605839	13.578056	13.654447	13.609692	13.4628	13.680971	13.58381	13.563981	13.612473
AFFX-DapX-5_at	6.7706265	6.996437	6.5766764	6.53968	6.8675623	7.3049636	6.423888	7.142748	6.692729	6.984067	6.8405695	6.779802	6.6118965	6.513275	6.5685043	6.2811084	6.3403325	6.077582	6.6033955	7.0720587	7.000893	7.227023	6.4488335	7.2011557	6.789311	6.870356
AFFX-DapX-M_at	7.976069	8.04933	7.7898583	7.7036514	7.925328	8.418758	7.5923185	8.288428	7.9192495	7.9567947	7.773162	7.965008	7.8730803	7.6120615	7.828849	7.5086093	7.3880725	7.222236	7.761773	8.299835	8.094559	8.367256	7.701848	8.385632	7.892129	7.9787107
AFFX-DapX-3_at	8.554679	8.599621	8.301514	8.443221	8.505381	8.995568	8.259423	8.859317	8.553996	8.589435	8.356254	8.504255	8.3424835	8.167301	8.410943	8.183684	8.017391	7.8402967	8.26416	8.737982	8.624207	8.797741	8.358481	8.907929	8.55404	8.521001
AFFX-LysX-5_at	4.0715303	4.0019984	3.951776	3.8003614	3.7271938	4.1002827	3.6089506	4.0698004	3.6878076	3.5497944	3.8888566	3.7956283	3.8376	3.7732816	3.880022	3.4887323	3.242372	3.5570607	3.7031446	4.192888	3.8989656	4.435505	3.5042534	4.1362357	3.898759	3.941665
AFFX-LysX-M_at	5.1899676	5.2423296	4.9972005	4.9210463	5.0360465	5.4210334	4.6513643	5.2427816	5.0305076	5.1142507	4.9147453	5.081889	4.9809847	4.951244	5.088697	4.5537076	4.4204307	4.616275	4.857305	5.2480035	5.030147	5.490985	4.6806173	5.433913	5.186536	5.164734
AFFX-LysX-3_at	6.2975016	6.423371	6.1661034	6.434312	6.2148256	6.5971556	6.065906	6.5391874	6.1976514	6.297139	6.1912656	6.1131606	5.966128	5.95485	6.3351073	5.8294096	5.7182827	5.8255115	6.22033	6.549539	6.4455924	6.752564	6.0262957	6.748073	6.2721453	6.4959188
AFFX-PheX-5_at	5.724414	6.0405936	5.614244	5.6663985	5.804155	5.774378	5.5839906	5.9026184	5.4034224	5.414411	5.704833	5.705316	5.606726	5.3811507	5.8011785	5.2562103	5.3679924	5.0539684	5.5001526	5.9485326	5.7281566	6.05917	5.5616846	6.084722	5.6834507	5.8651943
AFFX-PheX-M_at	6.086133	6.3837175	5.9610844	6.067206	6.170992	6.4970493	5.871271	6.292548	6.1015277	6.156537	6.0618186	6.2151003	6.1191516	5.7885756	6.2367754	5.701027	5.82561	5.6127625	6.1288967	6.3278003	6.2395897	6.48634	6.04798	6.45507	6.182885	6.1854267
AFFX-PheX-3_at	7.2523713	7.3030343	7.023574	7.2257843	7.219018	7.420461	6.978773	7.41628	7.092786	7.1970177	7.0666213	7.1752033	7.1127105	6.9840164	7.190954	6.9034038	6.8838644	6.8835964	7.1152887	7.318811	7.0938783	7.346076	7.1515365	7.4151387	7.0160418	7.2285585
AFFX-ThrX-5_at	5.8086643	5.883183	5.579627	5.5792804	5.602284	6.0046296	5.5143447	5.820636	5.787354	5.7759237	5.381023	5.6471195	5.7995977	5.790211	5.95724	5.5222235	5.5470686	5.488388	5.9577327	5.617852	5.532479	6.100872	5.6723633	6.1047754	6.10922	5.622898
AFFX-ThrX-M_at	5.0839434	5.194097	4.7603683	4.6412277	4.780672	5.3383718	4.63591	5.101012	4.744258	4.637472	4.6997743	5.0230923	4.610357	4.5991597	4.8692703	4.4686346	4.53806	4.4132056	5.344148	4.808687	5.039818	5.5967164	4.8346033	5.2423973	5.0113726	4.886844
AFFX-ThrX-3_at	6.7367797	6.8285365	6.313939	6.5915565	6.5251822	6.892161	6.2282104	6.776045	6.5013943	6.219985	6.2610965	6.633761	6.1014833	6.100001	6.411858	5.9035664	6.067571	5.9704704	6.662368	6.6369424	6.5473266	7.002207	6.4047117	6.9091325	6.6033673	6.5430255
AFFX-TrpnX-5_at	2.6085424	2.5592265	2.4649746	2.6320977	2.5096679	2.4754384	2.4929454	2.667326	2.5681002	2.5243158	2.6112525	2.7078023	2.6574829	2.5557556	2.714457	2.443892	2.552498	2.4719934	2.573991	2.5629175	2.705405	2.6819205	2.4633465	2.4634857	2.6940134	2.553862
AFFX-TrpnX-M_at	2.4983158	2.6398244	2.4672058	2.5557225	2.4245274	2.6188462	2.5163665	2.4547768	2.4621298	2.5278635	2.513747	2.5257707	2.5605342	2.473024	2.627597	2.4470124	2.592969	2.6074312	2.5508306	2.4948997	2.6563234	2.5600445	2.5111818	2.5611234	2.6613553	2.6049657
AFFX-TrpnX-3_at	2.4320192	2.4116025	2.347506	2.367372	2.4991398	2.4633336	2.3742428	2.387994	2.3626287	2.4457242	2.2987332	2.3827853	2.527033	2.4224944	2.5378916	2.3738613	2.4252481	2.5034544	2.4839797	2.4485807	2.542059	2.4601693	2.3650658	2.3204563	2.3183255	2.400374
AFFX-r2-Ec-bioB-5_at	8.749936	8.810694	8.760531	8.914254	8.757628	8.876919	8.741962	8.680732	8.741522	9.214439	8.812099	8.728409	8.729799	8.62804	8.985262	8.463405	8.659661	8.690615	8.882703	8.839174	8.833182	8.665128	8.737633	8.494291	8.690152	8.687898
AFFX-r2-Ec-bioB-M_at	9.231403	9.386925	9.202444	9.493034	9.3009205	9.426397	9.325706	9.290751	9.385464	9.791288	9.264166	9.27297	9.242442	9.176677	9.565828	9.038399	9.179615	9.161136	9.361771	9.337982	9.359457	9.133108	9.317138	9.15131	9.222959	9.327625
AFFX-r2-Ec-bioB-3_at	8.868415	9.099608	8.909811	9.060611	9.0005455	9.125604	9.052199	9.0276575	8.940665	9.455948	8.996591	9.06993	8.931893	8.842143	9.245256	8.746176	8.893187	8.911579	9.000869	9.026265	9.020418	8.826342	9.048242	8.813274	8.870576	9.001642
AFFX-r2-Ec-bioC-5_at	10.058662	10.235704	9.994123	10.239643	10.173147	10.217867	10.222263	10.118795	10.21664	10.617876	10.087128	10.190218	10.085699	10.052298	10.482008	9.867361	9.98736	10.038473	10.241066	10.147207	10.186392	9.996927	10.130989	9.927246	10.070377	10.040226
AFFX-r2-Ec-bioC-3_at	10.038418	10.276278	10.078481	10.285399	10.214038	10.306783	10.227337	10.24283	10.271375	10.604477	10.070788	10.235496	10.047926	10.049289	10.520913	9.975595	10.060895	10.038743	10.235082	10.205189	10.231384	9.990341	10.19699	9.993357	10.024353	10.1247
AFFX-r2-Ec-bioD-5_at	11.779034	11.883963	11.873825	11.964698	11.984248	12.042256	11.975775	11.954378	11.93743	12.267853	11.8727	11.960983	11.957839	11.8215065	12.083078	11.77357	11.863087	11.797734	11.875553	11.973337	11.945322	11.633976	11.966553	11.81556	11.814135	11.89274
AFFX-r2-Ec-bioD-3_at	12.426994	12.5095415	12.438229	12.627066	12.488164	12.59074	12.579971	12.528312	12.602131	12.894936	12.439545	12.423547	12.525516	12.43775	12.630424	12.291991	12.448763	12.383166	12.462577	12.534252	12.527691	12.378635	12.536454	12.391141	12.428306	12.471246
AFFX-r2-P1-cre-5_at	13.773989	13.82016	13.818751	13.8902645	13.84888	13.904528	13.839045	13.818218	13.84432	13.982895	13.827738	13.808341	13.836256	13.765176	13.8910885	13.762512	13.840686	13.786241	13.79731	13.848152	13.83389	13.740847	13.817857	13.804994	13.751273	13.8455925
AFFX-r2-P1-cre-3_at	14.129584	14.207102	14.191488	14.212026	14.18857	14.231637	14.219351	14.167965	14.151527	14.33276	14.152085	14.194441	14.231079	14.176828	14.222786	14.119093	14.173825	14.181795	14.1923065	14.23913	14.191292	14.140539	14.165945	14.177825	14.139927	14.212503
AFFX-r2-Bs-dap-5_at	7.209982	7.3103366	7.0664897	7.0451336	7.3868647	7.686792	6.9475565	7.5921106	7.057229	7.3767385	7.1485367	7.243781	6.883551	6.863735	7.185158	6.6386137	6.763567	6.492065	7.0296817	7.5515738	7.338591	7.758707	6.8872876	7.7249074	7.2198687	7.365676
AFFX-r2-Bs-dap-M_at	8.096929	8.255131	7.937815	8.003443	8.137223	8.5559	7.673072	8.384168	7.9860864	8.173286	7.916698	8.101383	7.987449	7.89408	8.074147	7.758389	7.528084	7.393489	7.8587093	8.421201	8.210281	8.428958	7.848638	8.530418	8.07861	8.192331
AFFX-r2-Bs-dap-3_at	9.254545	9.409208	9.024025	9.149498	9.268084	9.877605	8.87776	9.5885105	9.255375	9.347689	9.123495	9.141284	9.171306	8.929233	9.199214	8.833937	8.750424	8.641373	9.034864	9.6338005	9.34019	9.660431	9.036705	9.709766	9.279982	9.315456
AFFX-r2-Bs-lys-5_at	4.43167	4.6991644	4.2638726	4.9937315	4.49011	4.9393263	3.644924	4.709112	4.368101	4.177764	4.4520555	4.3593984	4.1451035	3.955602	4.288457	3.7537346	3.6006122	3.702119	4.547625	4.4971876	4.424362	5.1837187	4.2509804	4.8411493	4.2705145	4.7647448
AFFX-r2-Bs-lys-M_at	4.574245	5.051815	4.1974325	4.905344	4.5373626	4.9313393	4.1834817	4.9262624	4.495939	4.4624386	4.660712	4.511889	3.9871879	4.325901	4.3859844	4.1967154	4.1171284	4.3434563	4.3576255	5.1920714	4.9073257	5.2556224	4.5900245	5.1720824	4.3322306	4.4435196
AFFX-r2-Bs-lys-3_at	5.687851	5.7545166	4.9711914	5.079544	4.9639935	5.6879344	5.241907	5.8338594	4.8931255	5.381447	5.0380974	5.3774977	4.859151	5.1384516	5.154576	4.67417	5.051354	4.9889965	5.3550096	5.6204515	5.4055004	5.842124	4.81236	5.6442776	5.196318	5.498261
AFFX-r2-Bs-phe-5_at	5.945897	5.9348593	5.690978	5.681994	5.588607	6.113036	5.4692984	6.00756	5.7508745	5.5161943	5.8943014	5.6505985	5.6847973	5.4986916	5.7570515	5.064193	5.368637	5.0100837	5.7198315	5.8018546	5.825548	6.2828956	5.7473936	6.1599216	5.831103	6.18321
AFFX-r2-Bs-phe-M_at	6.089965	6.3044415	6.0030413	6.0335484	6.218854	6.2932577	5.776893	6.4024334	5.8909225	5.8799996	6.0025964	6.0272326	6.0849214	5.9074836	5.976907	5.302323	5.698114	5.3131657	6.002952	6.198596	6.096426	6.401557	5.9158697	6.4033937	6.1358833	6.2914877
AFFX-r2-Bs-phe-3_at	7.469253	7.8116083	7.411394	7.5269856	7.6109695	7.8380685	7.2765226	7.8051414	7.471758	7.5298767	7.4275804	7.414981	7.4635825	7.2837596	7.4529505	7.119332	7.1344614	7.0092134	7.185148	7.660391	7.5656047	7.8589272	7.5165143	7.8963194	7.4094377	7.522656
AFFX-r2-Bs-thr-5_s_at	5.4851694	4.9299064	4.8139076	4.1116767	4.6667185	5.065496	4.580488	5.0061064	4.2671056	4.459446	4.71292	5.0423193	4.4302077	4.2881064	4.8557215	4.2973604	4.2601404	3.9940825	5.0585165	4.81353	4.5633025	5.2654696	4.0624857	4.83313	4.6729455	4.735154
AFFX-r2-Bs-thr-M_s_at	5.8452096	6.161341	5.706003	5.3898106	5.6578746	5.971758	5.510957	5.759457	5.553768	5.604812	5.5288076	5.8451433	5.4069657	5.5736833	5.7293177	5.53101	5.7494955	5.170073	5.8881626	5.8506284	5.772035	6.0170035	5.406109	6.09523	6.0293927	5.7487683
AFFX-r2-Bs-thr-3_s_at	6.5841913	6.6965213	6.2880893	6.4488955	6.4998035	6.858184	6.1765547	6.8656244	6.408504	6.2983074	6.2882395	6.379992	6.369996	6.3212395	6.414233	5.9245677	6.011939	5.881627	6.7546005	6.697097	6.5825787	6.9094176	6.4623575	6.8308697	6.7383003	6.6365004
AFFX_Rat_GAPDH_5_at	12.357849	11.74774	11.895729	11.820909	11.95578	12.135557	11.799076	12.0708275	12.216348	11.826305	12.136009	11.950378	11.970216	12.162902	12.0479965	12.223616	12.152806	12.0587015	12.145767	12.123359	12.154823	12.075284	12.01201	11.855665	11.987715	12.064745
AFFX_Rat_GAPDH_M_at	12.1344385	11.509854	11.608891	11.670348	11.780081	11.88311	11.613655	11.833811	12.026078	11.707038	11.919428	11.800966	11.781809	11.955601	11.909979	11.965486	11.878167	11.89217	11.955778	11.913538	11.941903	11.857178	11.766965	11.635329	11.805264	11.818954
AFFX_Rat_GAPDH_3_at	12.251164	11.733591	11.771099	11.837457	11.94012	12.044281	11.8611965	12.021716	12.174169	11.912143	12.130429	11.952495	11.942389	12.059484	12.013049	12.137761	12.076252	12.075709	12.082391	12.118947	12.1516485	12.079192	11.972908	11.888908	11.930446	12.005104
AFFX_Rat_Hexokinase_5_at	2.736596	2.6217644	2.7259126	2.5880313	2.7368133	2.618423	2.790044	2.6268947	2.7698076	2.888335	2.8129938	2.6283462	2.6853786	2.7156556	2.6192918	2.6452942	2.7313366	2.5427947	2.7892787	2.698901	2.7429261	2.7253551	2.7659137	2.7741988	2.6745317	2.633395
AFFX_Rat_Hexokinase_M_at	5.116378	5.0528264	5.0793753	4.95494	5.0026627	5.1677237	5.10592	5.189195	5.38281	5.317301	5.059279	5.0993924	5.237294	5.205009	4.976197	5.181275	5.299482	5.23536	5.037496	5.2282734	5.044748	5.014367	5.2003813	5.274296	5.2709765	4.826924
AFFX_Rat_Hexokinase_3_at	3.93816	3.8046331	4.01833	3.9969287	3.8061106	4.0621185	3.985384	3.9646559	3.8852084	4.1427116	3.722252	3.955463	3.8845623	4.0467973	3.899547	4.142946	4.034404	3.9355028	3.9282897	4.0427384	4.119392	3.8552122	3.981909	3.8995204	4.249272	3.7658522
AFFX_Rat_beta-actin_5_at	10.693983	10.6197195	10.493906	10.404565	10.657425	10.610218	10.333769	10.659622	10.70447	10.329725	10.66816	10.592086	10.414806	10.553919	10.702113	10.655618	10.5134735	10.580463	10.699696	10.602849	10.872442	10.401759	10.437609	10.565452	10.515867	10.693706
AFFX_Rat_beta-actin_M_at	11.436849	11.371884	11.206619	11.125902	11.387315	11.317781	11.178239	11.379622	11.482007	11.135082	11.360302	11.311036	11.247425	11.3219	11.351824	11.403426	11.270167	11.2905	11.43518	11.363808	11.580302	11.152299	11.253625	11.282966	11.263588	11.407968
AFFX_Rat_beta-actin_3_at	11.954376	11.907358	11.793473	11.785265	11.904016	11.884381	11.704505	11.912202	11.9839	11.702146	11.959706	11.884781	11.829904	11.833287	11.836916	11.934977	11.778807	11.87779	11.96412	11.89082	12.152865	11.678675	11.831277	11.893874	11.859311	11.952586
AFFX_rat_5S_rRNA_at	6.2138977	6.8272295	5.382951	6.9860144	5.7467494	6.7070413	6.288524	5.7820854	5.407612	6.3293138	6.157984	5.961875	5.541403	5.9740562	6.9554687	5.311899	5.710211	5.881329	5.8684716	6.6202326	6.4716816	7.0288186	5.6016374	6.090517	6.71747	5.831496
AFFX_ratb1/X12957_at	5.423768	5.4905567	5.402669	5.5075355	5.369908	5.5795255	5.4055533	5.519931	5.3837314	5.608414	5.537893	5.4399405	5.722646	5.5314136	5.603201	5.45986	5.45204	5.6595707	5.6321907	5.624047	5.424337	5.72532	5.371901	5.6049223	5.4673924	5.447872
AFFX_ratb2/X14115_at	2.940978	2.8866465	2.9285412	2.9317586	2.81289	2.9479368	3.0966198	2.9905946	2.9933574	3.0413263	2.9524667	2.96607	2.9710374	2.8857417	2.9769678	2.9447706	2.9346356	3.0062764	2.959418	3.1398578	3.012386	3.1260395	2.8838975	2.9662342	3.0196488	2.895094
1367452_at	9.981873	10.048933	9.947944	9.9175625	9.964054	9.898672	9.827227	9.913908	9.915161	9.91732	10.003363	9.972185	9.967115	9.905703	9.980732	9.985779	9.824293	9.82392	10.034599	9.885374	9.984428	9.936052	9.923058	9.998501	9.970648	9.980679
1367453_at	9.155305	9.030145	9.065241	9.1057825	9.120234	9.115106	9.013135	9.241751	9.094145	9.087672	9.055687	9.0315895	9.026388	9.064699	8.976271	8.892485	8.881246	9.002384	9.139016	9.102847	9.160741	9.038605	8.995576	9.119176	9.115066	9.176408
1367454_at	9.978754	10.034925	10.002661	9.988121	10.0819	10.063864	10.006296	10.098951	10.08222	9.992926	10.124849	9.955109	10.0345	10.033081	10.126858	10.004364	10.141544	10.072025	10.020132	10.019747	10.04719	9.861067	9.945805	10.156872	9.941664	10.112629
1367455_at	11.281782	11.311047	11.444599	11.217897	11.460945	11.242844	11.3533535	11.207493	11.5177555	11.085322	11.304262	11.346364	11.252456	11.280197	11.369942	11.323143	11.351036	11.331709	11.372007	11.344294	11.299557	11.253939	11.383009	11.329227	11.3103075	11.325439
1367456_at	11.625796	11.797904	11.765406	11.635956	11.734432	11.644073	11.735111	11.688118	11.672388	11.627445	11.663256	11.650274	11.671885	11.673279	11.700127	11.734922	11.687887	11.689223	11.637894	11.617358	11.643068	11.593833	11.795971	11.727026	11.689562	11.742374
1367457_at	9.245584	9.161999	9.202884	9.129376	9.192884	9.135461	9.18673	9.286107	9.144118	9.194108	9.208546	9.2569475	9.159483	9.112809	9.175542	9.120787	9.295805	9.134301	9.1744995	9.154531	9.178986	9.055125	9.207184	9.2568245	9.135358	9.2300825
1367458_at	8.126713	8.14713	8.074979	8.127289	8.121553	8.11082	8.14609	8.11167	8.122995	7.9856634	8.135702	8.165802	8.086959	8.147524	8.16397	8.049607	8.232283	8.061748	8.05354	8.102774	8.121313	8.121404	8.13582	8.005378	8.0363865	8.032615
1367459_at	11.917808	11.98829	11.973781	11.8926935	11.929379	11.84017	11.912353	11.865127	11.892467	11.802833	11.869095	11.961703	11.855818	11.951954	11.948384	11.756358	11.923909	11.879256	11.937077	11.800397	12.028345	11.7683325	11.878741	11.863033	11.830947	11.932834
1367460_at	11.177865	11.0838175	11.160187	11.299991	11.121185	11.168532	11.192386	11.207992	11.138491	11.14863	11.219517	11.133458	11.20055	11.1589575	11.03059	11.161104	11.243467	11.112319	11.214366	11.174558	11.140305	10.985544	11.237259	11.225708	11.131014	11.144174
1367461_at	9.567261	9.630132	9.51869	9.674278	9.646341	9.641556	9.508348	9.582159	9.716602	9.455692	9.504253	9.582673	9.579416	9.471617	9.529842	9.689903	9.517849	9.665588	9.650838	9.413527	9.612701	9.391636	9.768047	9.710932	9.677425	9.619917
1367462_at	10.671432	10.659335	10.612904	10.697445	10.613805	10.77412	10.597447	10.733284	10.67811	10.605641	10.862106	10.889206	10.598284	10.753061	10.866926	10.686752	10.620934	10.613285	10.775797	10.64305	10.721774	10.554069	10.735004	10.567643	10.580195	10.709235
1367463_at	10.28909	10.285682	10.305939	10.390259	10.426745	10.225444	10.41503	10.404682	10.450053	10.410491	10.265973	10.257713	10.197784	10.379263	10.366709	10.130038	10.285451	10.32202	10.20477	10.371297	10.467179	10.229706	10.186075	10.354	10.336115	10.453371
1367464_at	9.276411	9.194537	9.198202	9.254314	9.20912	9.283007	9.151323	9.314589	9.192414	9.019287	9.270281	9.152531	9.1733	9.208725	9.21509	9.077036	9.175684	9.188858	9.158243	9.192984	9.289139	9.094292	9.078978	9.127996	9.164297	9.256205
1367465_at	10.521239	10.341656	10.391993	10.380145	10.286705	10.413235	10.318187	10.374006	10.427302	10.4603	10.604675	10.487257	10.413029	10.423166	10.536516	10.34358	10.484121	10.461106	10.469533	10.3425455	10.499989	10.355966	10.4225855	10.35689	10.280586	10.375267
1367466_at	9.14936	9.49478	9.444029	9.279578	9.605143	9.263049	9.344908	9.22698	9.522149	9.264996	9.382794	9.478267	9.239146	9.111251	9.255831	9.531971	9.336563	9.444447	9.3823395	9.255767	9.344534	9.159118	9.465409	9.554572	9.277006	9.369542
1367467_at	11.381615	11.344927	11.270548	11.324593	11.35911	11.301662	11.380795	11.315218	11.281639	11.243841	11.280149	11.308502	11.237707	11.291702	11.398897	11.267843	11.36109	11.380207	11.270342	11.465843	11.311947	11.415674	11.303904	11.355446	11.268005	11.384726
1367468_at	9.489559	9.689884	9.5350065	9.609352	9.503844	9.568867	9.600649	9.673281	9.415601	9.504158	9.649013	9.644105	9.6648245	9.636768	9.782915	9.525934	9.581559	9.725891	9.69417	9.591667	9.672729	9.517812	9.577514	9.489847	9.673798	9.662427
1367469_at	11.928525	11.888975	11.780677	11.742456	11.92376	11.787676	11.787925	11.813221	12.006521	11.83876	11.9978485	11.802334	11.98483	11.818777	11.768827	11.855207	11.687403	11.800009	11.877196	11.874582	11.938697	11.649451	11.922119	11.929897	11.804028	11.839908
1367470_at	9.870087	9.998747	9.907118	9.824879	9.943953	9.835506	9.836561	9.778603	9.889912	9.676973	9.840067	9.907251	9.866556	9.923634	9.864304	9.900457	9.686577	9.843527	9.946503	9.898371	9.942892	9.886589	9.952175	9.817406	9.919668	9.915848
1367471_at	9.062117	8.949314	8.985243	9.01037	8.982292	8.990996	9.000043	8.957971	8.959724	9.071814	9.028801	8.945446	8.994464	8.933794	9.057764	8.8266535	9.0035	8.998899	8.963074	9.091381	9.080944	9.071686	8.858917	8.978746	8.926107	9.196295
1367472_at	9.001681	8.9905405	8.915785	8.910198	9.099377	8.809133	8.965464	8.856444	9.118361	8.775368	9.04624	9.041925	8.901971	9.045074	9.025105	9.014167	9.004499	9.172215	9.048414	8.939067	9.015367	8.84711	9.027442	8.918824	8.803293	8.981217
1367473_at	9.616716	9.633573	9.563199	9.423404	9.49961	9.444078	9.43602	9.530906	9.504112	9.407287	9.554592	9.451187	9.446529	9.539402	9.578221	9.468106	9.483613	9.475152	9.55597	9.462722	9.650175	9.4349	9.40703	9.465745	9.493331	9.571551
1367474_at	9.659216	9.793931	9.634489	9.767803	9.7795925	9.743299	9.764773	9.716239	9.791289	9.625248	9.717251	9.723529	9.55693	9.64053	9.819711	9.786085	9.692898	9.839772	9.775965	9.770342	9.703496	9.597492	9.805483	9.820177	9.719641	9.737027
1367475_at	10.37718	10.450584	10.362925	10.31185	10.287313	10.348444	10.328335	10.323881	10.301424	10.386341	10.377422	10.417021	10.404058	10.367134	10.425409	10.342175	10.285564	10.302921	10.410252	10.356487	10.357475	10.295984	10.310442	10.350962	10.340052	10.346254
1367476_at	11.276311	11.426655	11.353017	11.375101	11.361641	11.237119	11.302965	11.224281	11.2618065	11.161556	11.228426	11.271285	11.293926	11.244869	11.314965	11.247448	11.302641	11.33777	11.28985	11.270678	11.3359	11.157119	11.275393	11.316246	11.28365	11.390976
1367477_at	9.867679	9.964485	9.87176	10.006275	9.95457	9.911847	9.963622	9.922064	9.803923	9.762661	9.869485	9.902208	9.778829	9.91947	10.055081	9.819697	9.852355	9.943227	9.790294	9.797333	9.97293	9.79101	9.87676	9.84128	9.774939	9.961045
1367478_at	8.468111	8.535259	8.55072	8.662037	8.449313	8.415173	8.61956	8.427835	8.510262	8.566658	8.652687	8.431702	8.455521	8.471747	8.494186	8.54469	8.55971	8.63472	8.468607	8.40192	8.481855	8.373337	8.49659	8.498175	8.251425	8.615942
1367479_at	11.035009	10.979675	11.020536	10.950273	11.003822	10.980492	11.020608	11.044535	10.856875	11.006426	11.006686	11.01384	10.912952	11.001779	11.003658	10.882389	11.028714	10.995597	10.964857	10.972202	10.90328	10.919211	11.022396	10.986389	10.876465	10.994633
1367480_at	9.016194	9.1743555	9.105969	9.118896	9.212746	8.973012	8.9904585	9.107196	9.130947	9.008608	9.20889	9.004407	9.135216	9.111764	9.042567	9.078263	9.099877	9.028384	8.980116	9.022138	9.16218	8.821159	9.079602	9.012246	8.96912	9.233546
1367481_at	9.287762	9.292322	9.174021	9.267214	9.1091175	9.291459	9.235626	9.297972	9.172707	9.129858	9.252634	9.18721	9.096506	9.219095	9.334511	9.215794	9.252346	9.246138	9.267279	9.288566	9.195131	9.191924	9.120756	9.100197	9.196577	9.280367
1367482_at	9.55258	9.625889	9.512981	9.518869	9.476379	9.498703	9.573097	9.494764	9.386843	9.55769	9.627541	9.573101	9.437452	9.534014	9.621544	9.446781	9.467442	9.588778	9.5675125	9.371603	9.408568	9.352484	9.620192	9.297459	9.460039	9.582121
1367483_at	8.2610235	8.242811	8.206995	8.35589	8.337286	8.373744	8.25764	8.403935	8.148559	8.229616	8.229305	8.339098	8.138041	8.219412	8.448384	8.156512	8.30614	8.307299	8.227287	8.339362	8.174268	8.406276	8.231023	8.217544	8.203826	8.409675
1367484_at	9.111	9.118537	9.256736	9.124086	9.120529	9.117873	9.258719	9.080521	9.0848055	9.087489	9.114368	9.081932	9.083137	9.110471	9.0889015	9.1493845	9.171696	9.270511	9.019577	9.129156	9.15341	9.038479	9.153931	9.101178	9.103479	9.163226
