Something	401-031616-JAP_(Rat230_2).CEL	402-031616-JAP_(Rat230_2).CEL	404-031616-JAP_(Rat230_2).CEL	405-031616-JAP_(Rat230_2).CEL	406-031616-JAP_(Rat230_2).CEL	407-031616-JAP_(Rat230_2).CEL	408-031616-JAP_(Rat230_2).CEL	410-031616-JAP_(Rat230_2).CEL	411-031616-JAP_(Rat230_2).CEL	412-031616-JAP_(Rat230_2).CEL	413-031616-JAP_(Rat230_2).CEL	414-031616-JAP_(Rat230_2).CEL	416-031616-JAP_(Rat230_2).CEL	417-031616-JAP_(Rat230_2).CEL	418-031616-JAP_(Rat230_2).CEL	419-031616-JAP_(Rat230_2).CEL	421-031616-JAP_(Rat230_2).CEL	422-031616-JAP_(Rat230_2).CEL	423-031616-JAP_(Rat230_2).CEL	424-031616-JAP_(Rat230_2).CEL	425-031616-JAP_(Rat230_2).CEL	426-031616-JAP_(Rat230_2).CEL	427-031616-JAP_(Rat230_2).CEL	428-031616-JAP_(Rat230_2).CEL	429-031616-JAP_(Rat230_2).CEL	431-031616-JAP_(Rat230_2).CEL	432-031616-JAP_(Rat230_2).CEL	433-031616-JAP_(Rat230_2).CEL	435-031616-JAP_(Rat230_2).CEL	436-031616-JAP_(Rat230_2).CEL
1376707_at	4.029801	4.198078	4.349958	4.3180265	4.1039166	4.135041	4.311259	4.048371	4.1147943	4.1081862	4.078231	4.2012396	4.095287	4.0469728	4.2023273	4.1404834	4.4119735	4.191709	4.261016	4.2814536	4.222297	4.4832306	4.1706953	3.997331	3.9799366	4.185953	4.1802526	4.108703	4.143679	4.3701367
1376708_at	6.046108	5.680776	5.9928374	5.5986385	6.048411	5.806177	5.8022084	5.734265	5.758662	5.9217753	6.0808134	6.0792117	5.848829	5.8846655	5.8051553	6.043613	5.779597	5.7562046	5.984388	5.929986	6.0949388	5.8731165	5.754991	5.7350445	6.049237	5.731534	5.693152	5.7400894	5.8921003	5.97148
1376709_at	9.632631	9.929056	9.707689	9.462383	9.654228	9.522247	9.6704235	9.547949	9.659843	9.59931	9.503695	9.592981	9.692017	9.607824	9.499491	9.73764	9.620018	9.755793	9.54586	9.67453	9.508261	9.630697	9.659761	9.713699	9.794928	9.605877	9.559515	9.543768	9.485762	9.491051
1376710_at	4.6691914	4.020339	4.2299867	4.117927	4.568075	3.9983125	4.047172	4.595416	4.2784057	4.1649094	4.2132235	4.3536143	4.1299033	4.34421	4.1712694	4.345229	4.1502995	4.1582184	4.323778	4.3688583	4.0979004	3.9291365	4.3496966	4.4155254	4.2352715	4.1497335	4.316207	4.2878075	4.0916634	4.168062
1376711_at	2.8168583	2.7403553	2.916183	2.880993	2.8310976	2.7369711	2.7247488	2.7649345	3.0788162	2.877235	3.1348417	3.0186071	2.6968799	2.6776807	3.0157843	2.6639369	2.8254175	2.823942	2.900629	2.8498135	2.5040305	2.6562424	2.672741	2.8482182	2.5641663	2.8145404	2.8113499	2.935825	2.728352	2.7338936
1376712_at	6.7421393	6.7680454	6.508105	6.8227696	6.891587	6.850703	6.878124	6.8775387	6.6693845	6.8220143	6.755977	6.6477137	6.848799	6.833557	6.7035866	6.877284	6.6792827	6.8206835	6.736956	6.712242	6.7462254	6.631078	6.617698	6.8103766	6.881981	6.6884174	6.6885014	6.452578	6.7782526	6.596889
1376713_at	3.1158695	3.2217317	2.9915879	3.07867	2.968355	3.1245704	3.1526122	3.3772657	2.8177824	2.9952474	2.8561177	3.200436	2.9580617	3.0269291	3.0906358	3.0349298	3.158257	3.2025805	3.1686869	3.043107	3.1836867	2.9245172	3.1438394	3.2292533	2.8838477	3.0410042	3.1040962	3.104102	3.178209	3.5646458
1376714_at	7.4530263	7.543227	7.3673496	7.4258385	7.4418125	7.101187	7.1267056	7.3428593	7.413371	7.3693657	7.0897565	7.2151194	7.373467	7.4278703	7.2303314	7.2368503	7.211897	7.361822	7.1785965	7.28442	7.3397846	7.0560484	7.2958837	7.447399	7.441096	6.9832745	7.4559584	7.283293	7.155921	7.0333557
1376715_at	6.8595457	6.9302044	6.9861546	6.95954	6.952101	6.959688	7.1116447	6.9160476	6.9135237	7.0616894	6.957318	6.9274373	7.1938996	7.0244527	6.731062	7.175063	7.094447	6.939586	6.9202957	7.016165	6.947694	7.0643616	7.013571	6.994524	7.213278	7.062868	7.005854	6.834872	6.8150916	6.8136244
1376716_at	4.0163126	4.0500374	3.914341	4.048362	4.0116243	4.0471125	3.9559305	4.175173	3.9762847	4.086086	3.9837618	4.2648335	4.0293455	3.9221172	4.0735483	3.9033594	4.0764036	4.307413	4.090481	4.081684	3.8949237	3.9702573	4.0623384	4.0825624	4.236061	4.014982	4.0636616	4.1875553	4.014982	4.1179476
1376717_at	3.0279167	2.9273894	3.1280053	2.8596923	3.0369315	3.0365462	2.935066	2.961189	2.7954743	2.9087975	2.8768783	2.8309586	3.0491962	3.308395	2.7558036	2.9919996	2.8694227	2.9026299	3.156259	2.760357	2.931598	2.853985	2.871133	2.8575132	2.7901876	2.6624916	2.855339	2.8867474	2.9039233	2.883316
