Something	201-031016-JAP_(Rat230_2).CEL	202-031016-JAP_(Rat230_2).CEL	204-031016-JAP_(Rat230_2).CEL	205-031016-JAP_(Rat230_2).CEL	206-031016-JAP_(Rat230_2).CEL	207-031016-JAP_(Rat230_2).CEL	208-031016-JAP_(Rat230_2).CEL	209-031016-JAP_(Rat230_2).CEL	210-031016-JAP_(Rat230_2).CEL	212-031016-JAP_(Rat230_2).CEL	213-031016-JAP_(Rat230_2).CEL	214-031016-JAP_(Rat230_2).CEL	216-031016-JAP_(Rat230_2).CEL	217-031016-JAP_(Rat230_2).CEL	218-031016-JAP_(Rat230_2).CEL	219-031016-JAP_(Rat230_2).CEL	221-031016-JAP_(Rat230_2).CEL	222-031016-JAP_(Rat230_2).CEL	223-031016-JAP_(Rat230_2).CEL	224-031016-JAP_(Rat230_2).CEL	225-031016-JAP_(Rat230_2).CEL	226-031016-JAP_(Rat230_2).CEL	227-031016-JAP_(Rat230_2).CEL	228-031016-JAP_(Rat230_2).CEL	229-031016-JAP_(Rat230_2).CEL	231-031016-JAP_(Rat230_2).CEL	232-031016-JAP_(Rat230_2).CEL	233-031016-JAP_(Rat230_2).CEL	235-031016-JAP_(Rat230_2).CEL	236-031016-JAP_(Rat230_2).CEL
Doses	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	3.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0	300.0	300.0	1000.0	1000.0	1000.0	1000.0	1000.0
AFFX-BioB-5_at	8.425601	8.188633	8.118619	8.874274	8.413119	8.228303	8.321017	8.3729725	8.482299	8.77326	8.529101	8.33434	8.366792	8.411365	8.861567	8.5828905	8.42325	8.3241	8.402284	8.635192	8.806356	8.339655	8.32936	8.685882	8.131313	8.37361	8.193252	8.485951	8.482777	8.087671
AFFX-BioB-M_at	9.045162	8.823625	8.584486	9.28476	8.870902	8.783266	8.814503	8.741588	8.96586	9.181802	8.93149	8.913628	8.799139	8.848978	9.26637	9.030017	8.86075	8.855109	9.010792	9.193013	9.295067	8.82878	8.840325	8.999777	8.791882	8.764554	8.761839	9.074629	8.871611	8.529976
AFFX-BioB-3_at	8.513124	8.177718	8.060347	8.790584	8.417912	8.166974	8.310764	8.174785	8.582106	8.550798	8.411018	8.269001	8.3028755	8.250567	8.7182045	8.521723	8.3649845	8.303149	8.409726	8.655274	8.872302	8.244151	8.325214	8.568745	8.230448	8.413243	8.145768	8.500494	8.453978	8.058051
AFFX-BioC-5_at	10.001667	9.678328	9.579979	10.219813	9.7544155	9.683338	9.744715	9.569883	9.943652	10.0338545	9.87686	9.810087	9.886864	9.647422	10.222658	10.050356	9.90242	9.69446	9.8499	10.130652	10.232319	9.775456	9.766171	10.0210285	9.668484	9.768031	9.697523	9.882309	9.954681	9.503789
AFFX-BioC-3_at	10.009495	9.79468	9.622096	10.331279	9.955335	9.801736	9.903531	9.716636	10.0277	10.095844	10.043031	9.862082	9.840849	9.879803	10.226405	10.086334	9.94178	9.7892065	10.074506	10.1775875	10.313241	9.91452	9.846753	10.084727	9.831799	9.877824	9.769635	10.030289	9.988272	9.623553
AFFX-BioDn-5_at	10.626678	10.364617	10.216683	10.903466	10.407379	10.4191475	10.40289	10.312244	10.509369	10.565918	10.576099	10.381192	10.346667	10.331971	10.768736	10.654891	10.426454	10.431731	10.512139	10.690246	10.751006	10.423938	10.351102	10.6255245	10.257245	10.440726	10.32779	10.482865	10.417158	10.3067255
AFFX-BioDn-3_at	11.707045	11.639678	11.373505	12.025646	11.7170725	11.538486	11.662692	11.530402	11.72398	11.745238	11.833489	11.603308	11.586079	11.600434	11.883027	11.776866	11.65774	11.635549	11.72499	11.850241	11.912308	11.637182	11.676313	11.769467	11.44125	11.58546	11.532463	11.761547	11.69861	11.489001
AFFX-CreX-5_at	13.342744	13.199326	13.09655	13.445445	13.214458	13.253901	13.30472	13.179528	13.332571	13.341658	13.310307	13.189873	13.184201	13.185794	13.405463	13.329785	13.30587	13.258283	13.273268	13.415918	13.374182	13.261341	13.22526	13.3121805	13.190193	13.283957	13.212459	13.267497	13.254031	13.187163
AFFX-CreX-3_at	13.601598	13.479712	13.313261	13.672522	13.448607	13.525744	13.55581	13.37681	13.59861	13.590199	13.60715	13.496483	13.480981	13.479343	13.631891	13.582607	13.538821	13.482247	13.592142	13.648789	13.65075	13.52747	13.519429	13.56664	13.430393	13.554113	13.44921	13.580869	13.45565	13.432044
AFFX-DapX-5_at	9.2297535	8.886687	8.093663	9.809055	9.241726	9.116688	9.138591	8.530047	9.080754	9.84985	8.800895	8.973113	9.127252	9.206726	9.617092	9.501452	9.061577	9.446827	9.966365	9.839394	9.890347	8.814118	9.249556	9.922159	9.107362	9.603983	9.019601	9.019548	9.337693	8.840921
AFFX-DapX-M_at	10.168375	9.962761	9.193047	10.740498	10.163961	10.10578	10.125362	9.622414	10.083379	10.755855	9.915889	10.017922	10.122757	10.111767	10.562473	10.590222	10.062138	10.333194	10.903557	10.711452	10.8358345	9.982033	10.33431	10.851736	10.146916	10.550793	10.095773	10.055463	10.395299	9.926632
AFFX-DapX-3_at	10.050801	9.905164	9.082101	10.747281	10.209031	10.080477	10.097528	9.764161	10.092492	10.732454	9.9670315	9.959654	10.080531	10.130135	10.51052	10.594076	9.982139	10.357232	10.905712	10.6721	10.765227	9.848076	10.403684	10.829803	10.130145	10.545843	10.2209835	9.918274	10.257845	9.946163
AFFX-LysX-5_at	5.380784	4.7821846	4.4025955	5.8210196	5.3740296	4.9864817	5.1874833	5.2615128	5.191462	5.9261794	4.6266356	4.7323637	4.911473	4.9264784	5.2871485	5.737534	5.1568255	5.476152	6.060197	5.608748	5.9918895	4.893349	5.370283	5.8923583	5.3798976	5.8277063	5.309171	4.610241	5.3570437	5.0091195
AFFX-LysX-M_at	6.3370085	6.06675	5.4706635	6.978855	6.3875365	6.3589525	6.298494	6.4590044	6.212762	7.1255207	6.064338	6.272788	6.403613	6.163973	6.8230195	6.8095074	6.1600304	6.537485	7.2733574	6.908823	7.1370716	6.093423	6.538916	7.199406	6.77352	6.9446898	6.5485454	6.1905875	6.5459557	6.2282643
AFFX-LysX-3_at	7.437959	7.2184076	6.3939605	8.052445	7.6194243	7.37749	7.535213	7.5394497	7.5559034	8.091577	7.060064	7.308489	7.396697	7.348552	7.7495074	7.94668	7.291838	7.7683125	8.341325	7.960424	8.220644	7.3055754	7.693267	8.134678	7.633854	8.029241	7.5460587	7.370923	7.7302856	7.351768
AFFX-PheX-5_at	6.591264	6.0590286	5.5608606	7.088276	6.4817653	6.5532856	6.491973	6.717158	6.37918	7.200227	5.8857946	6.2739115	6.3580585	6.3024225	6.731901	6.952052	6.1444793	6.719603	7.348261	7.0102763	7.1897526	6.306656	6.670578	7.200617	6.5600696	6.8722143	6.6437836	6.1146197	6.8248544	6.2406964
AFFX-PheX-M_at	6.857822	6.619282	6.0385365	7.472213	7.0726585	6.858193	6.783078	7.018781	6.8577385	7.555746	6.545874	6.7932534	6.817587	6.7976756	7.327567	7.3451223	6.8086324	7.166849	7.7894597	7.4359555	7.743286	6.6199617	7.080849	7.5096474	6.8131843	7.2965083	6.971586	6.7409177	7.210039	6.740258
