Something	201-031016-JAP_(Rat230_2).CEL	202-031016-JAP_(Rat230_2).CEL	204-031016-JAP_(Rat230_2).CEL	205-031016-JAP_(Rat230_2).CEL	206-031016-JAP_(Rat230_2).CEL	207-031016-JAP_(Rat230_2).CEL	208-031016-JAP_(Rat230_2).CEL	209-031016-JAP_(Rat230_2).CEL	210-031016-JAP_(Rat230_2).CEL	212-031016-JAP_(Rat230_2).CEL	213-031016-JAP_(Rat230_2).CEL	214-031016-JAP_(Rat230_2).CEL	216-031016-JAP_(Rat230_2).CEL	217-031016-JAP_(Rat230_2).CEL	218-031016-JAP_(Rat230_2).CEL	219-031016-JAP_(Rat230_2).CEL	221-031016-JAP_(Rat230_2).CEL	222-031016-JAP_(Rat230_2).CEL	223-031016-JAP_(Rat230_2).CEL	224-031016-JAP_(Rat230_2).CEL	225-031016-JAP_(Rat230_2).CEL	226-031016-JAP_(Rat230_2).CEL	227-031016-JAP_(Rat230_2).CEL	228-031016-JAP_(Rat230_2).CEL	229-031016-JAP_(Rat230_2).CEL	231-031016-JAP_(Rat230_2).CEL	232-031016-JAP_(Rat230_2).CEL	233-031016-JAP_(Rat230_2).CEL	235-031016-JAP_(Rat230_2).CEL	236-031016-JAP_(Rat230_2).CEL
AFFX-PheX-3_at	7.6415257	7.5617976	7.1816025	8.154199	7.8539467	7.691025	7.5482373	7.7973776	7.5865064	8.355227	7.4902263	7.6157475	7.6750684	7.581439	8.255979	8.300247	7.6520243	7.9301934	8.509505	8.209827	8.4163265	7.361277	7.8263187	8.3680105	7.999555	7.9910893	7.7938466	7.5745983	7.9655704	7.63798
AFFX-ThrX-5_at	7.387729	7.2809267	6.6239505	7.886405	7.5645804	7.482722	7.320285	6.3651423	7.534276	8.020773	7.1797166	7.329946	7.439043	7.362397	7.858457	7.6494145	7.221747	7.5347276	8.12525	7.727501	7.7370667	7.005745	7.679348	7.9466243	7.477805	7.9542856	7.443168	7.026266	7.500537	7.2086143
AFFX-ThrX-M_at	7.020393	7.035855	6.1843147	7.677612	7.203754	7.125127	7.0051794	6.3740573	7.0069747	7.8458824	6.7172885	6.745055	6.946801	7.016595	7.607953	7.3493423	7.0059304	7.2833853	7.988732	7.544452	7.632235	6.632159	7.3681192	7.685475	7.2070074	7.680181	7.266661	6.625691	7.415481	6.881963
AFFX-ThrX-3_at	8.389093	8.360414	7.507788	8.999201	8.564589	8.432073	8.357687	7.9303794	8.408113	9.207564	8.049266	8.362513	8.365778	8.387476	8.806029	8.786926	8.242545	8.634682	9.323212	8.750387	8.96341	8.076451	8.746975	8.967749	8.554203	8.864983	8.563578	8.16914	8.664673	8.223362
AFFX-TrpnX-5_at	2.6362824	2.562321	2.611708	2.6877475	2.6970096	2.844499	2.526648	2.4366515	2.9752307	2.6032608	2.7215335	2.5770845	2.7420852	2.5680864	2.5877612	3.0168371	2.522951	2.8129349	2.4331691	2.7797222	2.7247174	2.6551228	2.669105	2.7621646	2.6413326	2.7995815	2.552061	2.728249	2.715684	2.672596
AFFX-TrpnX-M_at	2.7418616	2.51319	2.5815294	2.6741781	2.575013	2.6946187	2.5122423	2.6210487	2.4991376	2.624866	2.4855912	2.6255114	2.6151881	2.5981162	2.6097217	2.5949504	2.7925806	2.5282106	2.597088	2.4978256	2.5883584	2.6059837	2.4561265	2.6710458	2.711092	2.5781543	2.3223255	2.4882598	2.623705	2.565953
AFFX-TrpnX-3_at	2.412803	2.4319975	2.4202008	2.4935362	2.4615216	2.4857159	2.3911314	2.4903555	2.6192634	2.532322	2.432201	2.6801887	2.3963373	2.4801612	2.5006747	2.574441	2.4947073	2.5247343	2.439339	2.4041367	2.3910823	2.5369475	2.4537706	2.3803844	2.5816197	2.5911174	2.5030956	2.4447355	2.5342464	2.4066873
AFFX-r2-Ec-bioB-5_at	8.723865	8.623395	8.272007	9.150009	8.666709	8.549198	8.52781	8.385217	8.765332	8.887854	8.888219	8.614337	8.560138	8.474226	9.001148	8.930518	8.639195	8.621319	8.637059	8.908276	9.111727	8.588481	8.574194	8.903921	8.400774	8.562247	8.427944	8.633705	8.804141	8.264625
AFFX-r2-Ec-bioB-M_at	9.136878	9.258396	8.855327	9.583478	9.22566	9.101247	9.240952	9.055113	9.3342285	9.390977	9.43422	9.232618	9.189505	9.270869	9.551007	9.395855	9.207708	9.183272	9.514211	9.568726	9.759331	9.234726	9.257252	9.46838	9.037679	9.187494	9.05531	9.271082	9.326684	8.919059
AFFX-r2-Ec-bioB-3_at	8.995817	8.8604355	8.596806	9.407582	9.000821	8.908187	8.881077	8.792347	8.940374	9.137521	9.107361	8.724193	8.862619	8.874839	9.224165	9.131252	8.950639	8.841445	9.024083	9.235637	9.399026	8.947967	8.92021	9.043124	8.689865	8.986066	8.846804	8.932066	9.023853	8.627938
AFFX-r2-Ec-bioC-5_at	10.213303	10.120428	10.05267	10.668463	10.252707	10.169186	10.175928	10.088598	10.417412	10.498991	10.426489	10.203438	10.220829	10.182224	10.611557	10.541777	10.2407055	10.203323	10.415871	10.599554	10.681652	10.18321	10.2956505	10.485622	10.13452	10.202953	10.174334	10.384598	10.45409	9.962507
AFFX-r2-Ec-bioC-3_at	10.282494	10.255463	9.945131	10.649041	10.221993	10.212873	10.227852	10.042293	10.377688	10.510121	10.526996	10.213804	10.235496	10.226822	10.540387	10.55054	10.253688	10.309507	10.462417	10.593424	10.623545	10.270987	10.2636385	10.399942	10.089081	10.269823	10.107778	10.344132	10.418814	10.024223
AFFX-r2-Ec-bioD-5_at	11.862666	11.812715	11.370844	12.099411	11.742773	11.711757	11.684036	11.65029	11.853457	11.815287	12.047639	11.66943	11.711632	11.785724	12.0103655	11.889642	11.808227	11.762456	11.930556	12.069521	12.148185	11.685392	11.857459	11.891054	11.717208	11.821264	11.718373	11.856407	11.809177	11.718931
AFFX-r2-Ec-bioD-3_at	12.590968	12.511868	12.332948	12.790434	12.555234	12.479973	12.528312	12.379027	12.593164	12.568951	12.724999	12.504443	12.448432	12.511638	12.727856	12.602328	12.504577	12.524523	12.656856	12.715712	12.809794	12.499064	12.586518	12.610123	12.370754	12.46672	12.460038	12.597996	12.553644	12.357811
AFFX-r2-P1-cre-5_at	13.749964	13.714842	13.605837	13.81967	13.767144	13.733627	13.757825	13.658207	13.718069	13.7923155	13.853894	13.716448	13.710298	13.727242	13.859886	13.822679	13.732008	13.780419	13.790545	13.848152	13.8561535	13.7385235	13.739348	13.814227	13.739958	13.771946	13.719418	13.726762	13.787047	13.669913
AFFX-r2-P1-cre-3_at	14.092398	14.089837	13.988967	14.209141	14.097008	14.096506	14.1247	14.036639	14.111973	14.169232	14.162968	14.108276	14.11	14.094214	14.167965	14.163057	14.131343	14.142114	14.170597	14.19368	14.209141	14.108045	14.056151	14.154127	14.04577	14.135042	14.078463	14.119565	14.131343	14.034101
AFFX-r2-Bs-dap-5_at	9.629989	9.356731	8.322536	10.154008	9.543997	9.458704	9.660545	8.923664	9.477975	10.12576	9.184666	9.412191	9.427029	9.532543	10.000076	9.855001	9.414385	9.663488	10.221512	10.197001	10.304569	9.24752	9.811991	10.211982	9.522097	10.065756	9.357679	9.320057	9.725708	9.18984
AFFX-r2-Bs-dap-M_at	10.288316	10.208219	9.197642	10.903608	10.381792	10.214755	10.369621	9.936154	10.258172	10.871657	10.058402	10.093759	10.25858	10.3331	10.567892	10.662659	10.195058	10.614183	11.033414	10.848561	10.991954	10.034277	10.452935	11.014353	10.363925	10.88123	10.284624	10.148981	10.544471	10.127448
AFFX-r2-Bs-dap-3_at	10.886929	10.637871	9.8100195	11.407057	10.915174	10.72505	10.87525	10.54067	10.743347	11.257038	10.600517	10.530668	10.768145	10.82658	11.071072	11.096376	10.678677	11.035417	11.470943	11.248454	11.42819	10.655455	10.972454	11.4369	10.830819	11.244118	10.853659	10.518948	10.944084	10.705448
AFFX-r2-Bs-lys-5_at	6.3579435	5.7639976	5.147181	6.9289627	6.379735	6.0360017	6.3518653	6.248083	5.94937	6.929105	5.4860225	5.9931393	5.782626	6.0657773	6.4184914	7.0767965	5.723647	6.6859107	7.314806	6.7291527	7.176312	5.8030386	6.366809	7.2132645	6.425049	6.8205132	6.522437	6.0122113	6.5661316	5.9862185
AFFX-r2-Bs-lys-M_at	5.930306	5.504364	4.6959066	6.6891866	6.0849924	5.981662	5.811062	6.2784996	6.020532	6.626939	5.0340266	6.168521	5.7708106	5.9084144	6.3624783	6.510551	5.7477093	6.1529784	6.7839403	6.5375614	6.8182063	5.7018948	6.12074	6.686387	6.1698794	6.339997	6.125151	5.7493577	5.961359	5.8243756
AFFX-r2-Bs-lys-3_at	6.983592	6.4298906	5.6900663	7.4650416	6.929073	7.0299788	6.7311277	6.940461	7.021373	7.51052	6.227245	6.6467333	6.787507	6.637246	7.213233	7.3639674	6.794038	7.23794	7.669224	7.461895	7.626386	6.4847765	6.8812017	7.4964356	6.9131584	7.4923553	6.8908696	6.688815	7.125622	6.8265977
AFFX-r2-Bs-phe-5_at	6.5649376	5.9064636	5.2566156	7.335631	6.631725	6.292721	6.52913	6.709074	6.268312	7.2199554	6.005796	6.2964754	6.5139523	6.1924367	6.892684	6.9343486	6.157046	6.539931	7.4399858	6.8813505	7.268896	6.113036	6.7062693	7.2515926	6.4237895	6.7623587	6.537924	6.2519307	6.8527074	6.115248
AFFX-r2-Bs-phe-M_at	6.755663	6.6227455	5.486004	7.504663	6.837313	6.6010056	6.6537967	6.8447843	6.75858	7.5396357	6.0868587	6.471277	6.707558	6.583265	7.2142925	7.179498	6.636092	6.9109006	7.569367	7.3211446	7.5433497	6.3450465	6.7317915	7.411994	6.802739	7.250149	6.9371433	6.5138106	7.0140405	6.54748
AFFX-r2-Bs-phe-3_at	8.095557	7.704437	7.3392315	8.607547	8.253225	7.896581	7.8633103	8.189375	7.902624	8.511047	7.539425	8.003755	7.864413	7.9599605	8.327935	8.293142	7.9132876	8.361951	8.784036	8.616707	8.805256	7.6468515	8.016302	8.622419	8.178692	8.317756	8.056561	7.749477	8.136804	7.958698
AFFX-r2-Bs-thr-5_s_at	7.2294683	7.0900393	6.2076864	7.725484	7.3077154	7.241174	7.2225027	6.0053825	7.2071657	7.851135	6.876667	7.128019	7.1932526	7.248184	7.5387716	7.33145	6.9367924	7.5175247	8.099728	7.695279	7.616016	6.932849	7.50819	7.660672	7.204198	7.6158133	7.347676	6.981602	7.42542	6.8675904
AFFX-r2-Bs-thr-M_s_at	7.905494	7.674033	7.2473907	8.3519745	8.04631	7.834827	7.9952683	7.2271657	7.908223	8.595573	7.572511	7.880098	7.9259424	7.9982285	8.343435	8.212675	7.800571	8.103302	8.780218	8.292143	8.219748	7.5546556	8.191191	8.329832	8.071201	8.348368	8.0874405	7.577609	8.193811	7.733717
AFFX-r2-Bs-thr-3_s_at	8.439429	8.454974	7.472121	9.026666	8.696595	8.49699	8.454854	7.9862547	8.512149	9.208606	8.1425705	8.3214035	8.529224	8.431867	8.879984	8.747918	8.211685	8.726052	9.415627	8.801171	9.009129	8.062328	8.776934	9.163985	8.59208	8.977465	8.64013	8.159386	8.643091	8.3109665
AFFX_Rat_GAPDH_5_at	12.28985	12.302215	12.399122	12.334177	12.401807	12.33476	12.390017	12.213981	12.403294	12.379649	12.332565	12.377756	12.328795	12.101253	12.187801	12.3621855	12.461221	12.3720875	12.129651	12.280629	12.217548	12.246383	12.140183	12.272073	12.355705	12.135389	12.25295	12.430746	12.358268	12.266562
AFFX_Rat_GAPDH_M_at	12.146834	12.1983185	12.274482	12.2050705	12.297155	12.20867	12.258058	12.108587	12.284851	12.337828	12.261484	12.23136	12.165889	12.06288	12.130552	12.261404	12.340917	12.252046	12.022297	12.104369	12.124978	12.107283	12.086179	12.186117	12.254356	12.007567	12.131685	12.393515	12.212785	12.168362
AFFX_Rat_GAPDH_3_at	12.285614	12.316215	12.3961115	12.367385	12.367363	12.346351	12.342645	12.34442	12.397773	12.363516	12.291116	12.311152	12.245489	12.152807	12.285106	12.386384	12.412194	12.3569355	12.166876	12.268832	12.214468	12.226349	12.184484	12.357078	12.360035	12.215522	12.366437	12.467304	12.30929	12.318233
AFFX_Rat_Hexokinase_5_at	2.8140795	2.6946547	2.6085076	2.8108475	2.782654	2.9067967	2.8698592	2.7597613	2.5762255	2.751102	2.913582	2.9044716	2.714255	2.9207923	2.7643733	2.8084931	2.9528515	2.793743	2.8040125	2.8858466	2.6584742	2.9198496	2.763127	2.7162418	2.9446676	2.7185593	2.849722	2.9961903	3.0660458	2.7661278
AFFX_Rat_Hexokinase_M_at	5.290847	5.2378125	5.26667	5.185806	5.2139673	5.520881	5.469187	5.3101463	5.5053687	5.201393	5.301606	5.192932	5.1030116	5.342652	5.2042537	5.072022	5.2749677	5.328494	5.5115376	5.484704	5.3342867	5.253281	5.3289924	5.3831053	5.251115	5.122044	5.3135066	5.40484	5.0935297	5.342487
AFFX_Rat_Hexokinase_3_at	3.9870603	3.967613	3.9778066	4.0231814	3.9767272	4.1829805	3.7286072	4.0197616	3.8351898	4.125789	4.204069	4.0493994	4.0571766	4.103721	3.9539716	3.7888818	4.1613097	3.93261	4.1148367	4.153167	3.9170518	3.9292068	3.8855262	3.964514	4.037992	3.9906926	3.9339738	3.8334258	3.9979618	3.8803282
AFFX_Rat_beta-actin_5_at	11.211743	11.397853	11.434047	11.407695	11.410742	11.563664	11.37488	10.9820175	11.298768	11.571287	11.323052	11.5303135	11.377021	11.454503	11.35459	11.398623	11.359505	11.389468	11.187381	11.351785	11.248667	11.515468	11.439151	11.1802025	11.431493	11.094561	11.13757	11.4341755	11.475396	11.312338
AFFX_Rat_beta-actin_M_at	11.945124	12.081875	12.192694	12.049305	12.046867	12.173425	12.007419	11.772726	11.9967985	12.201167	11.945199	12.089094	12.049707	12.106581	12.048863	12.097202	11.990042	12.0628195	11.848591	12.013239	11.905109	12.136522	12.115564	11.873455	12.09281	11.816524	11.8637085	12.123075	12.18215	11.986386
AFFX_Rat_beta-actin_3_at	12.44035	12.464484	12.680838	12.519558	12.381955	12.576152	12.389556	12.2830715	12.425379	12.588162	12.362539	12.465759	12.481118	12.448508	12.512219	12.542103	12.425233	12.446332	12.299871	12.495453	12.324199	12.526678	12.4381275	12.3561125	12.539091	12.3284235	12.390937	12.556584	12.52205	12.476544
AFFX_rat_5S_rRNA_at	8.657385	7.971068	8.316862	8.289555	7.342804	6.96144	7.2621393	6.713489	7.486918	7.267033	6.527478	6.9668846	7.065059	7.109265	7.8053265	7.5736756	7.736845	7.131597	7.6324034	7.7420363	8.233206	7.0074687	7.6329494	8.035034	8.2264805	8.919728	7.70071	7.4971647	7.650748	8.112009
AFFX_ratb1/X12957_at	5.588407	5.468376	5.5856447	5.941919	5.4227133	5.5664725	5.457362	5.5717235	5.675928	5.4781733	5.541922	5.544198	5.5265803	5.5047307	5.532704	5.674731	5.5813885	5.590915	5.623869	5.682995	5.6068892	5.6944556	5.5147696	5.5233707	5.240866	5.7533817	5.441853	5.4456363	5.399439	5.5971828
AFFX_ratb2/X14115_at	3.0116968	3.0104759	2.9801137	3.2911928	3.1085796	2.8327456	3.0496035	3.109237	3.0390823	3.1293976	3.279824	2.8605664	3.0196726	3.086989	3.2309575	3.1258435	3.2315536	3.0526326	3.0765278	3.1107595	3.1571798	3.24611	3.0638127	2.921721	2.959461	2.9344661	3.0589015	3.0585709	3.2551796	3.066846
1367452_at	9.593035	9.74032	9.649727	9.703989	9.777836	9.605286	9.713652	9.741495	9.670259	9.743542	9.558844	9.681219	9.7314415	9.736971	9.636236	9.710299	9.707195	9.65444	9.657021	9.624474	9.613598	9.772175	9.760202	9.580048	9.691942	9.627369	9.796459	9.714796	9.642059	9.541582
1367453_at	9.31265	9.368174	9.273316	9.124361	9.421822	9.362826	9.257208	9.321105	9.293346	9.309941	9.327072	9.440278	9.377237	9.375616	9.379655	9.2547245	9.356294	9.35549	9.271169	9.389677	9.444164	9.306955	9.378185	9.383122	9.444224	9.327726	9.276076	9.494219	9.330943	9.290209
1367454_at	9.783081	9.911295	9.780565	9.770519	9.918501	9.960123	9.87801	9.8735695	9.828383	9.941808	9.810537	9.994362	9.830899	9.950087	9.849747	9.98283	9.7990055	9.865923	9.806219	9.88913	9.84392	9.834864	9.893368	9.958481	9.960451	9.75148	9.879757	10.092184	9.9164505	9.753689
1367455_at	11.513113	11.605832	11.5696335	11.668419	11.501574	11.530336	11.46755	11.526821	11.579477	11.624831	11.514679	11.502041	11.44598	11.541117	11.543606	11.565983	11.483015	11.572784	11.554541	11.53974	11.531519	11.558224	11.601783	11.522467	11.654768	11.453117	11.614761	11.748609	11.581472	11.535986
1367456_at	11.508581	11.519236	11.581291	11.552794	11.54703	11.4332905	11.500671	11.41918	11.488937	11.511972	11.42827	11.476154	11.489651	11.51969	11.455273	11.429745	11.511867	11.420854	11.499098	11.518347	11.428612	11.55503	11.582902	11.417688	11.503809	11.553062	11.454699	11.414103	11.497627	11.390423
1367457_at	8.888545	8.933992	8.989601	8.886402	8.950598	8.88629	9.031163	9.055748	8.901009	8.784385	8.895711	8.97831	9.010544	8.889203	8.8509245	8.965283	8.962599	9.026691	8.864426	8.985722	8.89164	9.028655	9.01005	8.954768	8.986088	8.901698	8.9551325	8.94425	8.836008	8.811099
1367458_at	7.7550244	7.8784494	7.8828964	7.9561005	7.855174	7.7778406	7.997238	7.7250247	7.760309	7.828007	7.8122454	7.8349075	7.917841	7.8763514	7.6902103	7.973354	7.9054832	7.7767305	7.9669166	7.7610493	7.9214783	7.772514	7.9802246	7.7127028	7.880818	7.68925	7.902688	8.005087	7.8752494	7.807702
1367459_at	11.793116	11.815557	11.805546	11.685212	11.845636	11.775048	11.733818	11.827679	11.751327	11.821	11.712313	11.752593	11.795437	11.772089	11.807131	11.765799	11.811584	11.742667	11.682759	11.756254	11.738123	11.776157	11.871845	11.738387	11.854778	11.683666	11.802186	11.855659	11.816352	11.760296
1367460_at	10.997849	10.877163	10.805735	10.821053	10.852721	10.743633	10.872215	10.866305	10.953704	10.815935	10.787056	10.812982	10.858144	10.8289795	10.83672	10.905247	10.767462	10.825111	10.783188	10.846228	10.884025	10.83605	10.772791	10.862977	10.89545	10.885159	11.0573225	10.959294	10.763508	10.983876
1367461_at	9.689796	9.790722	9.529842	9.66563	9.612822	9.545471	9.590331	9.600231	9.555558	9.520655	9.641657	9.5474205	9.614458	9.693424	9.540102	9.622793	9.576979	9.540417	9.672604	9.6665535	9.68232	9.468187	9.617155	9.602379	9.764336	9.586906	9.737607	9.778998	9.5978985	9.491716
1367462_at	10.288723	10.461446	10.244514	10.475613	10.659481	10.496008	10.58325	10.560356	10.3200865	10.51856	10.560004	10.561926	10.553571	10.533802	10.496379	10.474602	10.551938	10.498173	10.513653	10.437844	10.3615265	10.520477	10.566262	10.450539	10.637307	10.205104	10.470032	10.708574	10.467309	10.41902
1367463_at	9.912353	9.932373	10.090804	9.9205675	10.161764	9.9487505	9.898268	10.039287	10.055702	10.183625	9.823734	10.006958	10.004	9.917863	10.083615	10.119992	10.152825	10.027545	9.966535	9.970296	9.902671	9.995429	9.812422	10.122232	10.05857	9.940006	10.12638	10.102203	9.954331	9.990921
1367464_at	8.900198	8.994726	8.90789	8.96965	9.179493	8.9345045	9.068825	8.985937	9.005775	9.109501	8.95443	9.097638	9.048733	8.91033	9.083164	9.258024	9.024504	8.9603615	8.9497795	9.130703	8.940355	9.094452	9.035802	8.96187	9.109436	8.896309	9.076105	9.185482	9.052225	8.892342
1367465_at	9.993554	9.998776	9.67445	9.994613	10.128472	9.945547	9.943349	10.0829	9.926624	10.109932	10.026328	10.120719	10.056278	9.971108	9.947072	10.146313	9.942824	9.991026	10.0576935	9.999805	9.982815	9.945655	10.007784	10.1938095	10.191952	9.9515705	10.058616	10.03756	10.032396	9.983168
1367466_at	9.287772	9.439333	9.475248	9.447975	9.333192	9.3543625	9.079363	9.182801	9.321047	9.418013	9.325115	9.057019	9.244525	9.326395	9.395595	9.373402	9.235556	9.26229	9.34042	9.177662	9.285311	9.425991	9.294798	9.176509	9.380886	9.178854	9.300723	9.302332	9.289918	9.342268
1367467_at	11.2252865	11.195972	11.379171	11.313925	11.387686	11.273497	11.261398	11.261921	11.30492	11.415677	11.227032	11.254511	11.163933	11.368605	11.300819	11.340426	11.401201	11.231525	11.400377	11.295004	11.292494	11.246025	11.36211	11.33284	11.266882	11.349881	11.269077	11.2309475	11.335749	11.312759
