Something	301-031416-JAP_(Rat230_2).CEL	303-031416-JAP_(Rat230_2).CEL	304-031416-JAP_(Rat230_2).CEL	305-031416-JAP_(Rat230_2).CEL	306-031416-JAP_(Rat230_2).CEL	307-031416-JAP_(Rat230_2).CEL	308-031416-JAP_(Rat230_2).CEL	309-031416-JAP_(Rat230_2).CEL	310-031416-JAP_(Rat230_2).CEL	312-031416-JAP_(Rat230_2).CEL	313-031416-JAP_(Rat230_2).CEL	314-031416-JAP_(Rat230_2).CEL	315-031416-JAP_(Rat230_2).CEL	316-031416-JAP_(Rat230_2).CEL	318-031416-JAP_(Rat230_2).CEL	319-031416-JAP_(Rat230_2).CEL	320-031416-JAP_(Rat230_2).CEL	321-031416-JAP_(Rat230_2).CEL	323-031416-JAP_(Rat230_2).CEL	324-031416-JAP_(Rat230_2).CEL	325-031416-JAP_(Rat230_2).CEL	326-031416-JAP_(Rat230_2).CEL	328-031416-JAP_(Rat230_2).CEL	329-031416-JAP_(Rat230_2).CEL	330-031416-JAP_(Rat230_2).CEL	331-031416-JAP_(Rat230_2).CEL	332-031416-JAP_(Rat230_2).CEL	333-031416-JAP_(Rat230_2).CEL	335-031416-JAP_(Rat230_2).CEL	336-031416-JAP_(Rat230_2).CEL
Doses	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	3.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0	300.0	300.0	1000.0	1000.0	1000.0	1000.0	1000.0
AFFX-BioB-5_at	8.936926	8.718465	8.581539	8.818516	8.581129	8.837525	8.869228	8.881246	8.704896	8.718465	8.772523	8.9020815	8.716477	8.714347	9.225359	8.828904	8.836463	8.858258	8.74458	8.7476845	8.970629	8.907484	8.803018	8.7033415	8.747609	8.886287	8.745877	8.872654	8.7639675	8.833561
AFFX-BioB-M_at	9.520643	9.273015	9.256114	9.387128	9.249479	9.416816	9.453547	9.452723	9.370802	9.268021	9.387983	9.418168	9.279202	9.366553	9.70878	9.448366	9.420959	9.49163	9.366699	9.332361	9.532169	9.517314	9.389612	9.28656	9.346974	9.453304	9.413597	9.501536	9.396576	9.382749
AFFX-BioB-3_at	8.9396305	8.679585	8.680655	8.8382635	8.595379	8.832563	8.842837	8.898819	8.758403	8.709409	8.789919	8.82145	8.671843	8.812572	9.168158	8.897744	8.891761	8.882669	8.785251	8.769138	8.971823	8.877114	8.859231	8.776026	8.698189	8.914706	8.90898	8.917135	8.80802	8.836222
AFFX-BioC-5_at	10.284409	10.055937	10.031969	10.155182	9.984871	10.18948	10.219443	10.239841	10.083435	10.077932	10.126041	10.191384	10.032221	10.117746	10.492041	10.115897	10.18753	10.235511	10.114882	10.1061945	10.28294	10.193482	10.103026	10.064907	10.058039	10.183467	10.153858	10.270971	10.12064	10.140614
AFFX-BioC-3_at	10.358991	10.102074	10.118516	10.192637	10.088725	10.252392	10.332735	10.318294	10.231017	10.140906	10.2341585	10.295097	10.124275	10.216496	10.513309	10.284073	10.2960825	10.317103	10.176125	10.170218	10.383257	10.331752	10.230758	10.168162	10.195192	10.321529	10.306494	10.28494	10.186375	10.25354
AFFX-BioDn-5_at	10.96865	10.7697	10.811439	10.870523	10.798388	10.904377	10.982028	10.978237	10.863111	10.756416	10.758899	10.942369	10.749508	10.829867	11.291909	10.885375	10.970171	10.998311	10.893202	10.876759	10.992444	11.031286	10.788999	10.824382	10.846668	11.034004	10.920545	10.917133	10.8769245	10.930672
AFFX-BioDn-3_at	11.98905	11.735518	11.769769	11.879006	11.695116	11.826464	11.874953	11.904563	11.862682	11.751777	11.822343	11.839276	11.727651	11.808648	12.102897	11.891422	11.877528	11.852598	11.761766	11.788015	11.925111	11.977078	11.83723	11.771524	11.825541	11.907396	11.863145	11.923763	11.825537	11.820563
AFFX-CreX-5_at	13.580245	13.470691	13.473137	13.528981	13.48534	13.538293	13.518671	13.552956	13.522708	13.434429	13.436646	13.532973	13.432297	13.474354	13.627776	13.471423	13.576599	13.522641	13.549666	13.50735	13.543953	13.552684	13.462755	13.453942	13.484052	13.533504	13.51615	13.512391	13.532357	13.512598
AFFX-CreX-3_at	13.846089	13.720417	13.716498	13.791333	13.725562	13.791054	13.745831	13.774503	13.770527	13.695036	13.729529	13.765196	13.695157	13.734311	13.88013	13.793753	13.79652	13.744811	13.738562	13.731574	13.776244	13.812399	13.743241	13.681939	13.73522	13.776866	13.747162	13.785271	13.772782	13.775416
